"C_diaphana_6380_A","C_diaphana_6380_B","joint_prob","locus"
"6380_BLANK","6380_BLANK",0,"APP"
"6380_BLANK2","6380_BLANK",0.491967154587647,"APP"
"6380_BLANK","6380_BLANK2",0.508032845412353,"APP"
"6380_BLANK2","6380_BLANK2",0,"APP"
"6380_copy1","6380_copy1",0,"GAP"
"6380_copy2","6380_copy1",0.539985719385934,"GAP"
"6380_copy1","6380_copy2",0.460014280614066,"GAP"
"6380_copy2","6380_copy2",0,"GAP"
"6380_BLANK","6380_BLANK",0,"IBR"
"6380_BLANK2","6380_BLANK",0.508389860764013,"IBR"
"6380_BLANK","6380_BLANK2",0.491610139235987,"IBR"
"6380_BLANK2","6380_BLANK2",0,"IBR"
"6380_copy1","6380_copy1",0,"PGI"
"6380_copy2","6380_copy1",0.476079971438772,"PGI"
"6380_copy1","6380_copy2",0.523920028561228,"PGI"
"6380_copy2","6380_copy2",0,"PGI"
