"C_montana_7943_A","C_montana_7943_B","joint_prob","locus"
"7943_copy1","7943_copy1",0,"APP"
"7943_copy2","7943_copy1",0.477508032845412,"APP"
"7943_copy1","7943_copy2",0.522491967154588,"APP"
"7943_copy2","7943_copy2",0,"APP"
"7943_copy1","7943_copy1",0,"GAP"
"7943_copy2","7943_copy1",0.510174937522313,"GAP"
"7943_copy1","7943_copy2",0.489825062477687,"GAP"
"7943_copy2","7943_copy2",0,"GAP"
"7943_copy1","7943_copy1",0,"IBR"
"7943_copy2","7943_copy1",0.523920028561228,"IBR"
"7943_copy1","7943_copy2",0.476079971438772,"IBR"
"7943_copy2","7943_copy2",0,"IBR"
"7943_copy1","7943_copy1",0,"PGI"
"7943_copy2","7943_copy1",0.508389860764013,"PGI"
"7943_copy1","7943_copy2",0.491610139235987,"PGI"
"7943_copy2","7943_copy2",0,"PGI"
