"G_dryopteris_7981_A","G_dryopteris_7981_B","G_dryopteris_7981_C","G_dryopteris_7981_D","joint_prob","locus"
"7981_BLANK","7981_BLANK","7981_BLANK","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK","7981_BLANK","7981_copy2",0,"APP"
"7981_BLANK","7981_BLANK2","7981_BLANK","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK2","7981_BLANK","7981_copy2",0,"APP"
"7981_BLANK","7981_copy1","7981_BLANK","7981_copy2",0,"APP"
"7981_BLANK2","7981_copy1","7981_BLANK","7981_copy2",0.400571224562656,"APP"
"7981_BLANK","7981_BLANK","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK","7981_BLANK2","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK2","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK","7981_copy1","7981_BLANK2","7981_copy2",0.407711531595859,"APP"
"7981_BLANK2","7981_copy1","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK","7981_BLANK","7981_copy1","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK","7981_copy1","7981_copy2",0.0926454837558015,"APP"
"7981_BLANK","7981_BLANK2","7981_copy1","7981_copy2",0.0990717600856837,"APP"
"7981_BLANK2","7981_BLANK2","7981_copy1","7981_copy2",0,"APP"
"7981_BLANK","7981_copy1","7981_copy1","7981_copy2",0,"APP"
"7981_BLANK2","7981_copy1","7981_copy1","7981_copy2",0,"APP"
"7981_copy1","7981_copy2","7981_copy2","7981_BLANK",0,"GAP"
"7981_copy1","7981_copy3","7981_copy2","7981_BLANK",0.589967868618351,"GAP"
"7981_copy1","7981_copy2","7981_copy3","7981_BLANK",0.410032131381649,"GAP"
"7981_copy1","7981_copy3","7981_copy3","7981_BLANK",0,"GAP"
"7981_BLANK","7981_copy2","7981_BLANK","7981_copy1",0,"IBR"
"7981_BLANK2","7981_copy2","7981_BLANK","7981_copy1",0.505712245626562,"IBR"
"7981_BLANK","7981_copy2","7981_BLANK2","7981_copy1",0.494287754373438,"IBR"
"7981_BLANK2","7981_copy2","7981_BLANK2","7981_copy1",0,"IBR"
"7981_BLANK","7981_copy3","7981_copy1","7981_copy2",1,"PGI"
