"G_oyamense_sp2_8739_A","G_oyamense_sp2_8739_B","joint_prob","locus"
"8739_copy1","8739_copy1",0,"APP"
"8739_copy2","8739_copy1",0.521242413423777,"APP"
"8739_copy1","8739_copy2",0.478757586576223,"APP"
"8739_copy2","8739_copy2",0,"APP"
"8739_copy1","8739_copy1",0,"GAP"
"8739_copy2","8739_copy1",0.531774366297751,"GAP"
"8739_copy1","8739_copy2",0.468225633702249,"GAP"
"8739_copy2","8739_copy2",0,"GAP"
"8739_copy1","8739_copy1",0,"IBR"
"8739_copy2","8739_copy1",0.502142092109961,"IBR"
"8739_copy1","8739_copy2",0.497857907890039,"IBR"
"8739_copy2","8739_copy2",0,"IBR"
"8739_copy1","8739_copy1",0,"PGI"
"8739_copy2","8739_copy1",0.473580863977151,"PGI"
"8739_copy1","8739_copy2",0.526419136022849,"PGI"
"8739_copy2","8739_copy2",0,"PGI"
