"marginal_prob","phase","locus","tip_name"
1,"6137_copy1","APP","A_taiwaniana_6137_A"
1,"6137_copy2","APP","A_taiwaniana_6137_B"
1,"6137_copy1","GAP","A_taiwaniana_6137_A"
1,"6137_copy2","GAP","A_taiwaniana_6137_B"
1,"6137_copy2","IBR","A_taiwaniana_6137_A"
1,"6137_copy1","IBR","A_taiwaniana_6137_B"
1,"6137_copy2","PGI","A_taiwaniana_6137_A"
1,"6137_copy1","PGI","A_taiwaniana_6137_B"
0.504641199571582,"8704_BLANK","APP","A_tenuisecta_sp2_8704_A"
0.495358800428418,"8704_BLANK2","APP","A_tenuisecta_sp2_8704_A"
0.495358800428418,"8704_BLANK","APP","A_tenuisecta_sp2_8704_B"
0.504641199571582,"8704_BLANK2","APP","A_tenuisecta_sp2_8704_B"
1,"8704_copy1","GAP","A_tenuisecta_sp2_8704_A"
1,"8704_copy2","GAP","A_tenuisecta_sp2_8704_B"
1,"8704_copy2","IBR","A_tenuisecta_sp2_8704_A"
1,"8704_copy1","IBR","A_tenuisecta_sp2_8704_B"
1,"8704_BLANK","PGI","A_tenuisecta_sp2_8704_A"
1,"8704_copy1","PGI","A_tenuisecta_sp2_8704_B"
1,"8745_copy2","APP","A_tenuisecta_sp3_8745_A"
1,"8745_copy1","APP","A_tenuisecta_sp3_8745_B"
1,"8745_copy2","GAP","A_tenuisecta_sp3_8745_A"
1,"8745_copy1","GAP","A_tenuisecta_sp3_8745_B"
1,"8745_copy1","IBR","A_tenuisecta_sp3_8745_A"
1,"8745_copy2","IBR","A_tenuisecta_sp3_8745_B"
1,"8745_copy2","PGI","A_tenuisecta_sp3_8745_A"
1,"8745_copy1","PGI","A_tenuisecta_sp3_8745_B"
0.511781506604784,"6380_BLANK","APP","C_diaphana_6380_A"
0.488218493395216,"6380_BLANK2","APP","C_diaphana_6380_A"
0.488218493395216,"6380_BLANK","APP","C_diaphana_6380_B"
0.511781506604784,"6380_BLANK2","APP","C_diaphana_6380_B"
0.492502677615137,"6380_copy1","GAP","C_diaphana_6380_A"
0.507497322384863,"6380_copy2","GAP","C_diaphana_6380_A"
0.507497322384863,"6380_copy1","GAP","C_diaphana_6380_B"
0.492502677615137,"6380_copy2","GAP","C_diaphana_6380_B"
0.495180292752588,"6380_BLANK","IBR","C_diaphana_6380_A"
0.504819707247412,"6380_BLANK2","IBR","C_diaphana_6380_A"
0.504819707247412,"6380_BLANK","IBR","C_diaphana_6380_B"
0.495180292752588,"6380_BLANK2","IBR","C_diaphana_6380_B"
0.484112816851125,"6380_copy1","PGI","C_diaphana_6380_A"
0.515887183148875,"6380_copy2","PGI","C_diaphana_6380_A"
0.515887183148875,"6380_copy1","PGI","C_diaphana_6380_B"
0.484112816851125,"6380_copy2","PGI","C_diaphana_6380_B"
1,"7009_copy2","APP","C_fragilis_sp1_7009_A"
1,"7009_copy1","APP","C_fragilis_sp1_7009_B"
1,"7009_copy1","GAP","C_fragilis_sp1_7009_A"
1,"7009_BLANK","GAP","C_fragilis_sp1_7009_B"
1,"7009_copy2","IBR","C_fragilis_sp1_7009_A"
1,"7009_copy1","IBR","C_fragilis_sp1_7009_B"
1,"7009_copy1","PGI","C_fragilis_sp1_7009_A"
1,"7009_copy2","PGI","C_fragilis_sp1_7009_B"
1,"7248_copy1","APP","C_fragilis_sp2_7248_A"
1,"7248_copy2","APP","C_fragilis_sp2_7248_B"
1,"7248_copy1","GAP","C_fragilis_sp2_7248_A"
1,"7248_copy2","GAP","C_fragilis_sp2_7248_B"
1,"7248_copy2","IBR","C_fragilis_sp2_7248_A"
1,"7248_copy1","IBR","C_fragilis_sp2_7248_B"
1,"7248_copy1","PGI","C_fragilis_sp2_7248_A"
1,"7248_copy2","PGI","C_fragilis_sp2_7248_B"
0.489289539450196,"7943_copy1","APP","C_montana_7943_A"
0.510710460549804,"7943_copy2","APP","C_montana_7943_A"
0.510710460549804,"7943_copy1","APP","C_montana_7943_B"
0.489289539450196,"7943_copy2","APP","C_montana_7943_B"
0.503213138164941,"7943_copy1","GAP","C_montana_7943_A"
0.496786861835059,"7943_copy2","GAP","C_montana_7943_A"
0.496786861835059,"7943_copy1","GAP","C_montana_7943_B"
0.503213138164941,"7943_copy2","GAP","C_montana_7943_B"
0.517315244555516,"7943_copy1","IBR","C_montana_7943_A"
0.482684755444484,"7943_copy2","IBR","C_montana_7943_A"
0.482684755444484,"7943_copy1","IBR","C_montana_7943_B"
0.517315244555516,"7943_copy2","IBR","C_montana_7943_B"
0.496786861835059,"7943_copy1","PGI","C_montana_7943_A"
0.503213138164941,"7943_copy2","PGI","C_montana_7943_A"
0.503213138164941,"7943_copy1","PGI","C_montana_7943_B"
0.496786861835059,"7943_copy2","PGI","C_montana_7943_B"
0.513923598714745,"6055_copy1","APP","C_pellucida_6055_A"
0.486076401285255,"6055_copy2","APP","C_pellucida_6055_A"
0.486076401285255,"6055_copy1","APP","C_pellucida_6055_B"
0.513923598714745,"6055_copy2","APP","C_pellucida_6055_B"
0.504819707247412,"6055_copy1","GAP","C_pellucida_6055_A"
0.495180292752588,"6055_copy2","GAP","C_pellucida_6055_A"
0.495180292752588,"6055_copy1","GAP","C_pellucida_6055_B"
0.504819707247412,"6055_copy2","GAP","C_pellucida_6055_B"
0.522848982506248,"6055_copy1","IBR","C_pellucida_6055_A"
0.477151017493752,"6055_copy2","IBR","C_pellucida_6055_A"
0.477151017493752,"6055_copy1","IBR","C_pellucida_6055_B"
0.522848982506248,"6055_copy2","IBR","C_pellucida_6055_B"
0.53034630489111,"6055_copy1","PGI","C_pellucida_6055_A"
0.46965369510889,"6055_copy2","PGI","C_pellucida_6055_A"
0.46965369510889,"6055_copy1","PGI","C_pellucida_6055_B"
0.53034630489111,"6055_copy2","PGI","C_pellucida_6055_B"
1,"8674_copy1","APP","C_sudetica_8674_A"
1,"8674_copy2","APP","C_sudetica_8674_B"
1,"8674_copy1","GAP","C_sudetica_8674_A"
1,"8674_copy2","GAP","C_sudetica_8674_B"
1,"8674_copy1","IBR","C_sudetica_8674_A"
1,"8674_copy2","IBR","C_sudetica_8674_B"
1,"8674_copy2","PGI","C_sudetica_8674_A"
1,"8674_copy1","PGI","C_sudetica_8674_B"
1,"6379_copy2","APP","C_tasmanica_6379_A"
1,"6379_copy1","APP","C_tasmanica_6379_B"
0.6472688325598,"6379_copy1","GAP","C_tasmanica_6379_A"
0.3527311674402,"6379_copy2","GAP","C_tasmanica_6379_A"
0.3527311674402,"6379_copy1","GAP","C_tasmanica_6379_B"
0.6472688325598,"6379_copy2","GAP","C_tasmanica_6379_B"
0.668689753659407,"6379_BLANK","IBR","C_tasmanica_6379_A"
0.331310246340593,"6379_copy1","IBR","C_tasmanica_6379_A"
0.331310246340593,"6379_BLANK","IBR","C_tasmanica_6379_B"
0.668689753659407,"6379_copy1","IBR","C_tasmanica_6379_B"
1,"6379_copy2","PGI","C_tasmanica_6379_A"
1,"6379_copy1","PGI","C_tasmanica_6379_B"
1,"6387_copy2","APP","C_tenuis_6387_A"
1,"6387_copy1","APP","C_tenuis_6387_B"
1,"6387_copy2","GAP","C_tenuis_6387_A"
1,"6387_copy1","GAP","C_tenuis_6387_B"
1,"6387_copy2","IBR","C_tenuis_6387_A"
1,"6387_copy1","IBR","C_tenuis_6387_B"
1,"6387_copy1","PGI","C_tenuis_6387_A"
1,"6387_copy2","PGI","C_tenuis_6387_B"
1,"6848_copy2","APP","C_utahensis_6848_A"
1,"6848_copy1","APP","C_utahensis_6848_B"
1,"6848_copy1","GAP","C_utahensis_6848_A"
1,"6848_copy2","GAP","C_utahensis_6848_B"
0.511602998928954,"6848_BLANK","IBR","C_utahensis_6848_A"
0.488397001071046,"6848_BLANK2","IBR","C_utahensis_6848_A"
0.488397001071046,"6848_BLANK","IBR","C_utahensis_6848_B"
0.511602998928954,"6848_BLANK2","IBR","C_utahensis_6848_B"
1,"6848_copy1","PGI","C_utahensis_6848_A"
1,"6848_BLANK","PGI","C_utahensis_6848_B"
1,"6979_copy1","APP","G_continentale_6979_A"
1,"6979_copy2","APP","G_continentale_6979_B"
1,"6979_copy2","GAP","G_continentale_6979_A"
1,"6979_copy1","GAP","G_continentale_6979_B"
1,"6979_copy1","IBR","G_continentale_6979_A"
1,"6979_copy2","IBR","G_continentale_6979_B"
1,"6979_copy2","PGI","G_continentale_6979_A"
1,"6979_copy1","PGI","G_continentale_6979_B"
0.495001785076758,"7981_BLANK","APP","G_dryopteris_7981_A"
0.50035701535166,"7981_BLANK2","APP","G_dryopteris_7981_A"
0.00464119957158158,"7981_copy2","APP","G_dryopteris_7981_A"
0.0833630846126383,"7981_BLANK","APP","G_dryopteris_7981_B"
0.08836129953588,"7981_BLANK2","APP","G_dryopteris_7981_B"
0.828275615851482,"7981_copy1","APP","G_dryopteris_7981_B"
0.419136022848982,"7981_BLANK","APP","G_dryopteris_7981_C"
0.409139593002499,"7981_BLANK2","APP","G_dryopteris_7981_C"
0.171724384148518,"7981_copy1","APP","G_dryopteris_7981_C"
0.00249910746162085,"7981_BLANK","APP","G_dryopteris_7981_D"
0.00214209210996073,"7981_BLANK2","APP","G_dryopteris_7981_D"
0.995358800428418,"7981_copy2","APP","G_dryopteris_7981_D"
1,"7981_copy1","GAP","G_dryopteris_7981_A"
0.369332381292396,"7981_copy2","GAP","G_dryopteris_7981_B"
0.630667618707604,"7981_copy3","GAP","G_dryopteris_7981_B"
0.630667618707604,"7981_copy2","GAP","G_dryopteris_7981_C"
0.369332381292396,"7981_copy3","GAP","G_dryopteris_7981_C"
1,"7981_BLANK","GAP","G_dryopteris_7981_D"
0.503391645840771,"7981_BLANK","IBR","G_dryopteris_7981_A"
0.495715815780079,"7981_BLANK2","IBR","G_dryopteris_7981_A"
0.000892538379150304,"7981_copy1","IBR","G_dryopteris_7981_A"
1,"7981_copy2","IBR","G_dryopteris_7981_B"
0.496072831131739,"7981_BLANK","IBR","G_dryopteris_7981_C"
0.503927168868261,"7981_BLANK2","IBR","G_dryopteris_7981_C"
0.000535523027490182,"7981_BLANK","IBR","G_dryopteris_7981_D"
0.000357015351660121,"7981_BLANK2","IBR","G_dryopteris_7981_D"
0.99910746162085,"7981_copy1","IBR","G_dryopteris_7981_D"
1,"7981_BLANK","PGI","G_dryopteris_7981_A"
1,"7981_copy3","PGI","G_dryopteris_7981_B"
1,"7981_copy1","PGI","G_dryopteris_7981_C"
1,"7981_copy2","PGI","G_dryopteris_7981_D"
0.564084255622992,"8739_copy1","APP","G_oyamense_sp2_8739_A"
0.435915744377008,"8739_copy2","APP","G_oyamense_sp2_8739_A"
0.435915744377008,"8739_copy1","APP","G_oyamense_sp2_8739_B"
0.564084255622992,"8739_copy2","APP","G_oyamense_sp2_8739_B"
0.58889682256337,"8739_copy1","GAP","G_oyamense_sp2_8739_A"
0.41110317743663,"8739_copy2","GAP","G_oyamense_sp2_8739_A"
0.41110317743663,"8739_copy1","GAP","G_oyamense_sp2_8739_B"
0.58889682256337,"8739_copy2","GAP","G_oyamense_sp2_8739_B"
0.507140307033202,"8739_copy1","IBR","G_oyamense_sp2_8739_A"
0.492859692966798,"8739_copy2","IBR","G_oyamense_sp2_8739_A"
0.492859692966798,"8739_copy1","IBR","G_oyamense_sp2_8739_B"
0.507140307033202,"8739_copy2","IBR","G_oyamense_sp2_8739_B"
0.47161727954302,"8739_copy1","PGI","G_oyamense_sp2_8739_A"
0.52838272045698,"8739_copy2","PGI","G_oyamense_sp2_8739_A"
0.52838272045698,"8739_copy1","PGI","G_oyamense_sp2_8739_B"
0.47161727954302,"8739_copy2","PGI","G_oyamense_sp2_8739_B"
1,"4862_copy1","APP","G_remotepinnatum_4862_A"
1,"4862_copy2","APP","G_remotepinnatum_4862_B"
1,"4862_copy1","GAP","G_remotepinnatum_4862_A"
1,"4862_copy2","GAP","G_remotepinnatum_4862_B"
1,"4862_copy1","IBR","G_remotepinnatum_4862_A"
1,"4862_copy2","IBR","G_remotepinnatum_4862_B"
1,"4862_copy2","PGI","G_remotepinnatum_4862_A"
1,"4862_copy1","PGI","G_remotepinnatum_4862_B"
1,"7945_copy2","APP","G_robertianum_7945_A"
1,"7945_copy1","APP","G_robertianum_7945_B"
1,"7945_copy1","GAP","G_robertianum_7945_A"
1,"7945_copy2","GAP","G_robertianum_7945_B"
1,"7945_copy1","IBR","G_robertianum_7945_A"
1,"7945_copy2","IBR","G_robertianum_7945_B"
1,"7945_copy2","PGI","G_robertianum_7945_A"
1,"7945_copy1","PGI","G_robertianum_7945_B"
1,"7974_copy1","APP","xCystocarpium_7974_A"
1,"7974_copy2","APP","xCystocarpium_7974_B"
1,"7974_copy3","APP","xCystocarpium_7974_C"
1,"7974_copy4","APP","xCystocarpium_7974_D"
1,"7974_copy1","GAP","xCystocarpium_7974_A"
1,"7974_copy2","GAP","xCystocarpium_7974_B"
1,"7974_copy4","GAP","xCystocarpium_7974_C"
1,"7974_copy3","GAP","xCystocarpium_7974_D"
1,"7974_copy2","IBR","xCystocarpium_7974_A"
1,"7974_copy1","IBR","xCystocarpium_7974_B"
1,"7974_copy3","IBR","xCystocarpium_7974_C"
1,"7974_copy4","IBR","xCystocarpium_7974_D"
1,"7974_copy1","PGI","xCystocarpium_7974_A"
1,"7974_copy2","PGI","xCystocarpium_7974_B"
1,"7974_copy4","PGI","xCystocarpium_7974_C"
1,"7974_copy3","PGI","xCystocarpium_7974_D"
