"C_diaphana_6380_A","C_diaphana_6380_B","joint_prob","locus"
"6380_BLANK","6380_BLANK",0,"APP"
"6380_BLANK2","6380_BLANK",0.512852552659764,"APP"
"6380_BLANK","6380_BLANK2",0.487147447340236,"APP"
"6380_BLANK2","6380_BLANK2",0,"APP"
"6380_copy1","6380_copy1",0,"GAP"
"6380_copy2","6380_copy1",0.490360585505177,"GAP"
"6380_copy1","6380_copy2",0.509639414494823,"GAP"
"6380_copy2","6380_copy2",0,"GAP"
"6380_BLANK","6380_BLANK",0,"IBR"
"6380_BLANK2","6380_BLANK",0.492681185290967,"IBR"
"6380_BLANK","6380_BLANK2",0.507318814709033,"IBR"
"6380_BLANK2","6380_BLANK2",0,"IBR"
"6380_copy1","6380_copy1",0,"PGI"
"6380_copy2","6380_copy1",0.486790431988576,"PGI"
"6380_copy1","6380_copy2",0.513209568011424,"PGI"
"6380_copy2","6380_copy2",0,"PGI"
