"C_montana_7943_A","C_montana_7943_B","joint_prob","locus"
"7943_copy1","7943_copy1",0,"APP"
"7943_copy2","7943_copy1",0.485540878257765,"APP"
"7943_copy1","7943_copy2",0.514459121742235,"APP"
"7943_copy2","7943_copy2",0,"APP"
"7943_copy1","7943_copy1",0,"GAP"
"7943_copy2","7943_copy1",0.508568368439843,"GAP"
"7943_copy1","7943_copy2",0.491431631560157,"GAP"
"7943_copy2","7943_copy2",0,"GAP"
"7943_copy1","7943_copy1",0,"IBR"
"7943_copy2","7943_copy1",0.519457336665477,"IBR"
"7943_copy1","7943_copy2",0.480542663334523,"IBR"
"7943_copy2","7943_copy2",0,"IBR"
"7943_copy1","7943_copy1",0,"PGI"
"7943_copy2","7943_copy1",0.496965369510889,"PGI"
"7943_copy1","7943_copy2",0.503034630489111,"PGI"
"7943_copy2","7943_copy2",0,"PGI"
