"C_pellucida_6055_A","C_pellucida_6055_B","joint_prob","locus"
"6055_copy1","6055_copy1",0,"APP"
"6055_copy2","6055_copy1",0.501428061406641,"APP"
"6055_copy1","6055_copy2",0.49857193859336,"APP"
"6055_copy2","6055_copy2",0,"APP"
"6055_copy1","6055_copy1",0,"GAP"
"6055_copy2","6055_copy1",0.504105676544091,"GAP"
"6055_copy1","6055_copy2",0.495894323455909,"GAP"
"6055_copy2","6055_copy2",0,"GAP"
"6055_copy1","6055_copy1",0,"IBR"
"6055_copy2","6055_copy1",0.508211353088183,"IBR"
"6055_copy1","6055_copy2",0.491788646911817,"IBR"
"6055_copy2","6055_copy2",0,"IBR"
"6055_copy1","6055_copy1",0,"PGI"
"6055_copy2","6055_copy1",0.511960014280614,"PGI"
"6055_copy1","6055_copy2",0.488039985719386,"PGI"
"6055_copy2","6055_copy2",0,"PGI"
