"C_tasmanica_6379_A","C_tasmanica_6379_B","joint_prob","locus"
"6379_copy1","6379_copy1",0,"APP"
"6379_copy2","6379_copy1",0.000178507675830061,"APP"
"6379_copy1","6379_copy2",0.99982149232417,"APP"
"6379_copy2","6379_copy2",0,"APP"
"6379_copy1","6379_copy1",0,"GAP"
"6379_copy2","6379_copy1",0.809175294537665,"GAP"
"6379_copy1","6379_copy2",0.190824705462335,"GAP"
"6379_copy2","6379_copy2",0,"GAP"
"6379_BLANK","6379_BLANK",0,"IBR"
"6379_copy1","6379_BLANK",0.987861478043556,"IBR"
"6379_BLANK","6379_copy1",0.0121385219564441,"IBR"
"6379_copy1","6379_copy1",0,"IBR"
"6379_copy1","6379_copy2",1,"PGI"
