"marginal_prob","phase","locus","tip_name"
1,"6137_copy1","APP","A_taiwaniana_6137_A"
1,"6137_copy2","APP","A_taiwaniana_6137_B"
1,"6137_copy1","GAP","A_taiwaniana_6137_A"
1,"6137_copy2","GAP","A_taiwaniana_6137_B"
1,"6137_copy2","IBR","A_taiwaniana_6137_A"
1,"6137_copy1","IBR","A_taiwaniana_6137_B"
1,"6137_copy2","PGI","A_taiwaniana_6137_A"
1,"6137_copy1","PGI","A_taiwaniana_6137_B"
0.492324169939307,"8704_BLANK","APP","A_tenuisecta_sp2_8704_A"
0.507675830060693,"8704_BLANK2","APP","A_tenuisecta_sp2_8704_A"
0.507675830060693,"8704_BLANK","APP","A_tenuisecta_sp2_8704_B"
0.492324169939307,"8704_BLANK2","APP","A_tenuisecta_sp2_8704_B"
1,"8704_copy2","GAP","A_tenuisecta_sp2_8704_A"
1,"8704_copy1","GAP","A_tenuisecta_sp2_8704_B"
1,"8704_copy1","IBR","A_tenuisecta_sp2_8704_A"
1,"8704_copy2","IBR","A_tenuisecta_sp2_8704_B"
1,"8704_copy1","PGI","A_tenuisecta_sp2_8704_A"
1,"8704_BLANK","PGI","A_tenuisecta_sp2_8704_B"
1,"8745_copy1","APP","A_tenuisecta_sp3_8745_A"
1,"8745_copy2","APP","A_tenuisecta_sp3_8745_B"
1,"8745_copy1","GAP","A_tenuisecta_sp3_8745_A"
1,"8745_copy2","GAP","A_tenuisecta_sp3_8745_B"
1,"8745_copy2","IBR","A_tenuisecta_sp3_8745_A"
1,"8745_copy1","IBR","A_tenuisecta_sp3_8745_B"
1,"8745_copy1","PGI","A_tenuisecta_sp3_8745_A"
1,"8745_copy2","PGI","A_tenuisecta_sp3_8745_B"
0.487147447340236,"6380_BLANK","APP","C_diaphana_6380_A"
0.512852552659764,"6380_BLANK2","APP","C_diaphana_6380_A"
0.512852552659764,"6380_BLANK","APP","C_diaphana_6380_B"
0.487147447340236,"6380_BLANK2","APP","C_diaphana_6380_B"
0.509639414494823,"6380_copy1","GAP","C_diaphana_6380_A"
0.490360585505177,"6380_copy2","GAP","C_diaphana_6380_A"
0.490360585505177,"6380_copy1","GAP","C_diaphana_6380_B"
0.509639414494823,"6380_copy2","GAP","C_diaphana_6380_B"
0.507318814709033,"6380_BLANK","IBR","C_diaphana_6380_A"
0.492681185290967,"6380_BLANK2","IBR","C_diaphana_6380_A"
0.492681185290967,"6380_BLANK","IBR","C_diaphana_6380_B"
0.507318814709033,"6380_BLANK2","IBR","C_diaphana_6380_B"
0.513209568011424,"6380_copy1","PGI","C_diaphana_6380_A"
0.486790431988576,"6380_copy2","PGI","C_diaphana_6380_A"
0.486790431988576,"6380_copy1","PGI","C_diaphana_6380_B"
0.513209568011424,"6380_copy2","PGI","C_diaphana_6380_B"
1,"7009_copy2","APP","C_fragilis_sp1_7009_A"
1,"7009_copy1","APP","C_fragilis_sp1_7009_B"
1,"7009_BLANK","GAP","C_fragilis_sp1_7009_A"
1,"7009_copy1","GAP","C_fragilis_sp1_7009_B"
1,"7009_copy1","IBR","C_fragilis_sp1_7009_A"
1,"7009_copy2","IBR","C_fragilis_sp1_7009_B"
1,"7009_copy1","PGI","C_fragilis_sp1_7009_A"
1,"7009_copy2","PGI","C_fragilis_sp1_7009_B"
1,"7248_copy2","APP","C_fragilis_sp2_7248_A"
1,"7248_copy1","APP","C_fragilis_sp2_7248_B"
1,"7248_copy1","GAP","C_fragilis_sp2_7248_A"
1,"7248_copy2","GAP","C_fragilis_sp2_7248_B"
1,"7248_copy2","IBR","C_fragilis_sp2_7248_A"
1,"7248_copy1","IBR","C_fragilis_sp2_7248_B"
1,"7248_copy2","PGI","C_fragilis_sp2_7248_A"
1,"7248_copy1","PGI","C_fragilis_sp2_7248_B"
0.514459121742235,"7943_copy1","APP","C_montana_7943_A"
0.485540878257765,"7943_copy2","APP","C_montana_7943_A"
0.485540878257765,"7943_copy1","APP","C_montana_7943_B"
0.514459121742235,"7943_copy2","APP","C_montana_7943_B"
0.491431631560157,"7943_copy1","GAP","C_montana_7943_A"
0.508568368439843,"7943_copy2","GAP","C_montana_7943_A"
0.508568368439843,"7943_copy1","GAP","C_montana_7943_B"
0.491431631560157,"7943_copy2","GAP","C_montana_7943_B"
0.480542663334523,"7943_copy1","IBR","C_montana_7943_A"
0.519457336665477,"7943_copy2","IBR","C_montana_7943_A"
0.519457336665477,"7943_copy1","IBR","C_montana_7943_B"
0.480542663334523,"7943_copy2","IBR","C_montana_7943_B"
0.503034630489111,"7943_copy1","PGI","C_montana_7943_A"
0.496965369510889,"7943_copy2","PGI","C_montana_7943_A"
0.496965369510889,"7943_copy1","PGI","C_montana_7943_B"
0.503034630489111,"7943_copy2","PGI","C_montana_7943_B"
0.49857193859336,"6055_copy1","APP","C_pellucida_6055_A"
0.501428061406641,"6055_copy2","APP","C_pellucida_6055_A"
0.501428061406641,"6055_copy1","APP","C_pellucida_6055_B"
0.49857193859336,"6055_copy2","APP","C_pellucida_6055_B"
0.495894323455909,"6055_copy1","GAP","C_pellucida_6055_A"
0.504105676544091,"6055_copy2","GAP","C_pellucida_6055_A"
0.504105676544091,"6055_copy1","GAP","C_pellucida_6055_B"
0.495894323455909,"6055_copy2","GAP","C_pellucida_6055_B"
0.491788646911817,"6055_copy1","IBR","C_pellucida_6055_A"
0.508211353088183,"6055_copy2","IBR","C_pellucida_6055_A"
0.508211353088183,"6055_copy1","IBR","C_pellucida_6055_B"
0.491788646911817,"6055_copy2","IBR","C_pellucida_6055_B"
0.488039985719386,"6055_copy1","PGI","C_pellucida_6055_A"
0.511960014280614,"6055_copy2","PGI","C_pellucida_6055_A"
0.511960014280614,"6055_copy1","PGI","C_pellucida_6055_B"
0.488039985719386,"6055_copy2","PGI","C_pellucida_6055_B"
1,"8674_copy2","APP","C_sudetica_8674_A"
1,"8674_copy1","APP","C_sudetica_8674_B"
1,"8674_copy2","GAP","C_sudetica_8674_A"
1,"8674_copy1","GAP","C_sudetica_8674_B"
1,"8674_copy2","IBR","C_sudetica_8674_A"
1,"8674_copy1","IBR","C_sudetica_8674_B"
1,"8674_copy1","PGI","C_sudetica_8674_A"
1,"8674_copy2","PGI","C_sudetica_8674_B"
0.99982149232417,"6379_copy1","APP","C_tasmanica_6379_A"
0.000178507675830061,"6379_copy2","APP","C_tasmanica_6379_A"
0.000178507675830061,"6379_copy1","APP","C_tasmanica_6379_B"
0.99982149232417,"6379_copy2","APP","C_tasmanica_6379_B"
0.190824705462335,"6379_copy1","GAP","C_tasmanica_6379_A"
0.809175294537665,"6379_copy2","GAP","C_tasmanica_6379_A"
0.809175294537665,"6379_copy1","GAP","C_tasmanica_6379_B"
0.190824705462335,"6379_copy2","GAP","C_tasmanica_6379_B"
0.0121385219564441,"6379_BLANK","IBR","C_tasmanica_6379_A"
0.987861478043556,"6379_copy1","IBR","C_tasmanica_6379_A"
0.987861478043556,"6379_BLANK","IBR","C_tasmanica_6379_B"
0.0121385219564441,"6379_copy1","IBR","C_tasmanica_6379_B"
1,"6379_copy1","PGI","C_tasmanica_6379_A"
1,"6379_copy2","PGI","C_tasmanica_6379_B"
1,"6387_copy1","APP","C_tenuis_6387_A"
1,"6387_copy2","APP","C_tenuis_6387_B"
1,"6387_copy1","GAP","C_tenuis_6387_A"
1,"6387_copy2","GAP","C_tenuis_6387_B"
1,"6387_copy1","IBR","C_tenuis_6387_A"
1,"6387_copy2","IBR","C_tenuis_6387_B"
1,"6387_copy2","PGI","C_tenuis_6387_A"
1,"6387_copy1","PGI","C_tenuis_6387_B"
1,"6848_copy1","APP","C_utahensis_6848_A"
1,"6848_copy2","APP","C_utahensis_6848_B"
1,"6848_copy2","GAP","C_utahensis_6848_A"
1,"6848_copy1","GAP","C_utahensis_6848_B"
0.483398786147804,"6848_BLANK","IBR","C_utahensis_6848_A"
0.516601213852196,"6848_BLANK2","IBR","C_utahensis_6848_A"
0.516601213852196,"6848_BLANK","IBR","C_utahensis_6848_B"
0.483398786147804,"6848_BLANK2","IBR","C_utahensis_6848_B"
1,"6848_BLANK","PGI","C_utahensis_6848_A"
1,"6848_copy1","PGI","C_utahensis_6848_B"
1,"6979_copy1","APP","G_continentale_6979_A"
1,"6979_copy2","APP","G_continentale_6979_B"
1,"6979_copy2","GAP","G_continentale_6979_A"
1,"6979_copy1","GAP","G_continentale_6979_B"
1,"6979_copy1","IBR","G_continentale_6979_A"
1,"6979_copy2","IBR","G_continentale_6979_B"
1,"6979_copy2","PGI","G_continentale_6979_A"
1,"6979_copy1","PGI","G_continentale_6979_B"
0.491967154587647,"7981_BLANK","APP","G_dryopteris_7981_A"
0.504462691895752,"7981_BLANK2","APP","G_dryopteris_7981_A"
0.00357015351660121,"7981_copy2","APP","G_dryopteris_7981_A"
0.396108532666905,"7981_BLANK","APP","G_dryopteris_7981_B"
0.384862549089611,"7981_BLANK2","APP","G_dryopteris_7981_B"
0.219028918243484,"7981_copy1","APP","G_dryopteris_7981_B"
0.109782220635487,"7981_BLANK","APP","G_dryopteris_7981_C"
0.109246697607997,"7981_BLANK2","APP","G_dryopteris_7981_C"
0.780971081756516,"7981_copy1","APP","G_dryopteris_7981_C"
0.00214209210996073,"7981_BLANK","APP","G_dryopteris_7981_D"
0.00142806140664049,"7981_BLANK2","APP","G_dryopteris_7981_D"
0.996429846483399,"7981_copy2","APP","G_dryopteris_7981_D"
1,"7981_copy1","GAP","G_dryopteris_7981_A"
0.624598357729382,"7981_copy2","GAP","G_dryopteris_7981_B"
0.375401642270618,"7981_copy3","GAP","G_dryopteris_7981_B"
0.375401642270618,"7981_copy2","GAP","G_dryopteris_7981_C"
0.624598357729382,"7981_copy3","GAP","G_dryopteris_7981_C"
1,"7981_BLANK","GAP","G_dryopteris_7981_D"
0.493573723670118,"7981_BLANK","IBR","G_dryopteris_7981_A"
0.506247768654052,"7981_BLANK2","IBR","G_dryopteris_7981_A"
0.000178507675830061,"7981_copy1","IBR","G_dryopteris_7981_A"
0.506426276329882,"7981_BLANK","IBR","G_dryopteris_7981_B"
0.493573723670118,"7981_BLANK2","IBR","G_dryopteris_7981_B"
1,"7981_copy2","IBR","G_dryopteris_7981_C"
0.000178507675830061,"7981_BLANK2","IBR","G_dryopteris_7981_D"
0.99982149232417,"7981_copy1","IBR","G_dryopteris_7981_D"
1,"7981_BLANK","PGI","G_dryopteris_7981_A"
1,"7981_copy1","PGI","G_dryopteris_7981_B"
1,"7981_copy3","PGI","G_dryopteris_7981_C"
1,"7981_copy2","PGI","G_dryopteris_7981_D"
0.548375580149946,"8739_copy1","APP","G_oyamense_sp2_8739_A"
0.451624419850054,"8739_copy2","APP","G_oyamense_sp2_8739_A"
0.451624419850054,"8739_copy1","APP","G_oyamense_sp2_8739_B"
0.548375580149946,"8739_copy2","APP","G_oyamense_sp2_8739_B"
0.544091395930025,"8739_copy1","GAP","G_oyamense_sp2_8739_A"
0.455908604069975,"8739_copy2","GAP","G_oyamense_sp2_8739_A"
0.455908604069975,"8739_copy1","GAP","G_oyamense_sp2_8739_B"
0.544091395930025,"8739_copy2","GAP","G_oyamense_sp2_8739_B"
0.502677615137451,"8739_copy1","IBR","G_oyamense_sp2_8739_A"
0.497322384862549,"8739_copy2","IBR","G_oyamense_sp2_8739_A"
0.497322384862549,"8739_copy1","IBR","G_oyamense_sp2_8739_B"
0.502677615137451,"8739_copy2","IBR","G_oyamense_sp2_8739_B"
0.482327740092824,"8739_copy1","PGI","G_oyamense_sp2_8739_A"
0.517672259907176,"8739_copy2","PGI","G_oyamense_sp2_8739_A"
0.517672259907176,"8739_copy1","PGI","G_oyamense_sp2_8739_B"
0.482327740092824,"8739_copy2","PGI","G_oyamense_sp2_8739_B"
1,"4862_copy2","APP","G_remotepinnatum_4862_A"
1,"4862_copy1","APP","G_remotepinnatum_4862_B"
1,"4862_copy2","GAP","G_remotepinnatum_4862_A"
1,"4862_copy1","GAP","G_remotepinnatum_4862_B"
1,"4862_copy2","IBR","G_remotepinnatum_4862_A"
1,"4862_copy1","IBR","G_remotepinnatum_4862_B"
1,"4862_copy1","PGI","G_remotepinnatum_4862_A"
1,"4862_copy2","PGI","G_remotepinnatum_4862_B"
1,"7945_copy1","APP","G_robertianum_7945_A"
1,"7945_copy2","APP","G_robertianum_7945_B"
1,"7945_copy2","GAP","G_robertianum_7945_A"
1,"7945_copy1","GAP","G_robertianum_7945_B"
1,"7945_copy2","IBR","G_robertianum_7945_A"
1,"7945_copy1","IBR","G_robertianum_7945_B"
1,"7945_copy1","PGI","G_robertianum_7945_A"
1,"7945_copy2","PGI","G_robertianum_7945_B"
1,"7974_copy2","APP","xCystocarpium_7974_A"
1,"7974_copy1","APP","xCystocarpium_7974_B"
1,"7974_copy3","APP","xCystocarpium_7974_C"
1,"7974_copy4","APP","xCystocarpium_7974_D"
1,"7974_copy1","GAP","xCystocarpium_7974_A"
1,"7974_copy2","GAP","xCystocarpium_7974_B"
1,"7974_copy4","GAP","xCystocarpium_7974_C"
1,"7974_copy3","GAP","xCystocarpium_7974_D"
1,"7974_copy2","IBR","xCystocarpium_7974_A"
1,"7974_copy1","IBR","xCystocarpium_7974_B"
1,"7974_copy3","IBR","xCystocarpium_7974_C"
1,"7974_copy4","IBR","xCystocarpium_7974_D"
1,"7974_copy2","PGI","xCystocarpium_7974_A"
1,"7974_copy1","PGI","xCystocarpium_7974_B"
1,"7974_copy4","PGI","xCystocarpium_7974_C"
1,"7974_copy3","PGI","xCystocarpium_7974_D"
