"C_diaphana_6380_A","C_diaphana_6380_B","joint_prob","locus"
"6380_BLANK","6380_BLANK",0,"APP"
"6380_BLANK2","6380_BLANK",0.490645745322873,"APP"
"6380_BLANK","6380_BLANK2",0.509354254677127,"APP"
"6380_BLANK2","6380_BLANK2",0,"APP"
"6380_copy1","6380_copy1",0,"GAP"
"6380_copy2","6380_copy1",0.552806276403138,"GAP"
"6380_copy1","6380_copy2",0.447193723596862,"GAP"
"6380_copy2","6380_copy2",0,"GAP"
"6380_BLANK","6380_BLANK",0,"IBR"
"6380_BLANK2","6380_BLANK",0.509957754978878,"IBR"
"6380_BLANK","6380_BLANK2",0.490042245021123,"IBR"
"6380_BLANK2","6380_BLANK2",0,"IBR"
"6380_copy1","6380_copy1",0,"PGI"
"6380_copy2","6380_copy1",0.471937235968618,"PGI"
"6380_copy1","6380_copy2",0.528062764031382,"PGI"
"6380_copy2","6380_copy2",0,"PGI"
