"C_montana_7943_A","C_montana_7943_B","joint_prob","locus"
"7943_copy1","7943_copy1",0,"APP"
"7943_copy2","7943_copy1",0.535304767652384,"APP"
"7943_copy1","7943_copy2",0.464695232347616,"APP"
"7943_copy2","7943_copy2",0,"APP"
"7943_copy1","7943_copy1",0,"GAP"
"7943_copy2","7943_copy1",0.48038624019312,"GAP"
"7943_copy1","7943_copy2",0.51961375980688,"GAP"
"7943_copy2","7943_copy2",0,"GAP"
"7943_copy1","7943_copy1",0,"IBR"
"7943_copy2","7943_copy1",0.444779722389861,"IBR"
"7943_copy1","7943_copy2",0.555220277610139,"IBR"
"7943_copy2","7943_copy2",0,"IBR"
"7943_copy1","7943_copy1",0,"PGI"
"7943_copy2","7943_copy1",0.467712733856367,"PGI"
"7943_copy1","7943_copy2",0.532287266143633,"PGI"
"7943_copy2","7943_copy2",0,"PGI"
