"C_pellucida_6055_A","C_pellucida_6055_B","joint_prob","locus"
"6055_copy1","6055_copy1",0,"APP"
"6055_copy2","6055_copy1",0.469523234761617,"APP"
"6055_copy1","6055_copy2",0.530476765238383,"APP"
"6055_copy2","6055_copy2",0,"APP"
"6055_copy1","6055_copy1",0,"GAP"
"6055_copy2","6055_copy1",0.471333735666868,"GAP"
"6055_copy1","6055_copy2",0.528666264333132,"GAP"
"6055_copy2","6055_copy2",0,"GAP"
"6055_copy1","6055_copy1",0,"IBR"
"6055_copy2","6055_copy1",0.48038624019312,"IBR"
"6055_copy1","6055_copy2",0.51961375980688,"IBR"
"6055_copy2","6055_copy2",0,"IBR"
"6055_copy1","6055_copy1",0,"PGI"
"6055_copy2","6055_copy1",0.488835244417622,"PGI"
"6055_copy1","6055_copy2",0.511164755582378,"PGI"
"6055_copy2","6055_copy2",0,"PGI"
