"G_dryopteris_7981_A","G_dryopteris_7981_B","G_dryopteris_7981_C","G_dryopteris_7981_D","joint_prob","locus"
"7981_BLANK","7981_BLANK","7981_BLANK","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK","7981_BLANK","7981_copy2",0,"APP"
"7981_copy1","7981_BLANK","7981_BLANK","7981_copy2",0,"APP"
"7981_BLANK","7981_BLANK2","7981_BLANK","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK2","7981_BLANK","7981_copy2",0,"APP"
"7981_copy1","7981_BLANK2","7981_BLANK","7981_copy2",0.0500905250452625,"APP"
"7981_BLANK","7981_copy1","7981_BLANK","7981_copy2",0,"APP"
"7981_BLANK2","7981_copy1","7981_BLANK","7981_copy2",0.176825588412794,"APP"
"7981_copy1","7981_copy1","7981_BLANK","7981_copy2",0,"APP"
"7981_BLANK","7981_BLANK","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK","7981_BLANK2","7981_copy2",0,"APP"
"7981_copy1","7981_BLANK","7981_BLANK2","7981_copy2",0.0537115268557634,"APP"
"7981_BLANK","7981_BLANK2","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK2","7981_BLANK2","7981_copy2",0,"APP"
"7981_copy1","7981_BLANK2","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK","7981_copy1","7981_BLANK2","7981_copy2",0.182257091128546,"APP"
"7981_BLANK2","7981_copy1","7981_BLANK2","7981_copy2",0,"APP"
"7981_copy1","7981_copy1","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK","7981_BLANK","7981_copy1","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK","7981_copy1","7981_copy2",0.272178636089318,"APP"
"7981_copy1","7981_BLANK","7981_copy1","7981_copy2",0,"APP"
"7981_BLANK","7981_BLANK2","7981_copy1","7981_copy2",0.264936632468316,"APP"
"7981_BLANK2","7981_BLANK2","7981_copy1","7981_copy2",0,"APP"
"7981_copy1","7981_BLANK2","7981_copy1","7981_copy2",0,"APP"
"7981_BLANK","7981_copy1","7981_copy1","7981_copy2",0,"APP"
"7981_BLANK2","7981_copy1","7981_copy1","7981_copy2",0,"APP"
"7981_copy1","7981_copy1","7981_copy1","7981_copy2",0,"APP"
"7981_BLANK","7981_BLANK","7981_copy3","7981_copy1",0,"GAP"
"7981_copy2","7981_BLANK","7981_copy3","7981_copy1",0.713337356668678,"GAP"
"7981_BLANK","7981_copy2","7981_copy3","7981_copy1",0.286662643331322,"GAP"
"7981_copy2","7981_copy2","7981_copy3","7981_copy1",0,"GAP"
"7981_BLANK","7981_copy2","7981_BLANK","7981_copy1",0,"IBR"
"7981_BLANK2","7981_copy2","7981_BLANK","7981_copy1",0.506940253470127,"IBR"
"7981_BLANK","7981_copy2","7981_BLANK2","7981_copy1",0.493059746529873,"IBR"
"7981_BLANK2","7981_copy2","7981_BLANK2","7981_copy1",0,"IBR"
"7981_copy1","7981_BLANK","7981_BLANK","7981_copy2",0,"PGI"
"7981_copy1","7981_copy3","7981_BLANK","7981_copy2",0.903439951719976,"PGI"
"7981_copy1","7981_BLANK","7981_copy3","7981_copy2",0.0965600482800241,"PGI"
"7981_copy1","7981_copy3","7981_copy3","7981_copy2",0,"PGI"
