"G_oyamense_sp2_8739_A","G_oyamense_sp2_8739_B","joint_prob","locus"
"8739_copy1","8739_copy1",0,"APP"
"8739_copy2","8739_copy1",0.55823777911889,"APP"
"8739_copy1","8739_copy2",0.44176222088111,"APP"
"8739_copy2","8739_copy2",0,"APP"
"8739_copy1","8739_copy1",0,"GAP"
"8739_copy2","8739_copy1",0.563065781532891,"GAP"
"8739_copy1","8739_copy2",0.436934218467109,"GAP"
"8739_copy2","8739_copy2",0,"GAP"
"8739_copy1","8739_copy1",0,"IBR"
"8739_copy2","8739_copy1",0.488231744115872,"IBR"
"8739_copy1","8739_copy2",0.511768255884128,"IBR"
"8739_copy2","8739_copy2",0,"IBR"
"8739_copy1","8739_copy1",0,"PGI"
"8739_copy2","8739_copy1",0.471937235968618,"PGI"
"8739_copy1","8739_copy2",0.528062764031382,"PGI"
"8739_copy2","8739_copy2",0,"PGI"
