"C_diaphana_6380_A","C_diaphana_6380_B","joint_prob","locus"
"6380_BLANK","6380_BLANK",0,"APP"
"6380_BLANK2","6380_BLANK",0.510174937522313,"APP"
"6380_BLANK","6380_BLANK2",0.489825062477687,"APP"
"6380_BLANK2","6380_BLANK2",0,"APP"
"6380_copy1","6380_copy1",0,"GAP"
"6380_copy2","6380_copy1",0.466083541592288,"GAP"
"6380_copy1","6380_copy2",0.533916458407712,"GAP"
"6380_copy2","6380_copy2",0,"GAP"
"6380_BLANK","6380_BLANK",0,"IBR"
"6380_BLANK2","6380_BLANK",0.492324169939307,"IBR"
"6380_BLANK","6380_BLANK2",0.507675830060693,"IBR"
"6380_BLANK2","6380_BLANK2",0,"IBR"
"6380_copy1","6380_copy1",0,"PGI"
"6380_copy2","6380_copy1",0.523205997857908,"PGI"
"6380_copy1","6380_copy2",0.476794002142092,"PGI"
"6380_copy2","6380_copy2",0,"PGI"
