"C_montana_7943_A","C_montana_7943_B","joint_prob","locus"
"7943_copy1","7943_copy1",0,"APP"
"7943_copy2","7943_copy1",0.508389860764013,"APP"
"7943_copy1","7943_copy2",0.491610139235987,"APP"
"7943_copy2","7943_copy2",0,"APP"
"7943_copy1","7943_copy1",0,"GAP"
"7943_copy2","7943_copy1",0.490717600856837,"GAP"
"7943_copy1","7943_copy2",0.509282399143163,"GAP"
"7943_copy2","7943_copy2",0,"GAP"
"7943_copy1","7943_copy1",0,"IBR"
"7943_copy2","7943_copy1",0.478936094252053,"IBR"
"7943_copy1","7943_copy2",0.521063905747947,"IBR"
"7943_copy2","7943_copy2",0,"IBR"
"7943_copy1","7943_copy1",0,"PGI"
"7943_copy2","7943_copy1",0.495358800428418,"PGI"
"7943_copy1","7943_copy2",0.504641199571582,"PGI"
"7943_copy2","7943_copy2",0,"PGI"
