"C_pellucida_6055_A","C_pellucida_6055_B","joint_prob","locus"
"6055_copy1","6055_copy1",0,"APP"
"6055_copy2","6055_copy1",0.512495537308104,"APP"
"6055_copy1","6055_copy2",0.487504462691896,"APP"
"6055_copy2","6055_copy2",0,"APP"
"6055_copy1","6055_copy1",0,"GAP"
"6055_copy2","6055_copy1",0.504462691895752,"GAP"
"6055_copy1","6055_copy2",0.495537308104249,"GAP"
"6055_copy2","6055_copy2",0,"GAP"
"6055_copy1","6055_copy1",0,"IBR"
"6055_copy2","6055_copy1",0.505533737950732,"IBR"
"6055_copy1","6055_copy2",0.494466262049268,"IBR"
"6055_copy2","6055_copy2",0,"IBR"
"6055_copy1","6055_copy1",0,"PGI"
"6055_copy2","6055_copy1",0.498036415565869,"PGI"
"6055_copy1","6055_copy2",0.501963584434131,"PGI"
"6055_copy2","6055_copy2",0,"PGI"
