"G_dryopteris_7981_A","G_dryopteris_7981_B","G_dryopteris_7981_C","G_dryopteris_7981_D","joint_prob","locus"
"7981_BLANK","7981_BLANK","7981_BLANK2","7981_BLANK",0,"APP"
"7981_BLANK2","7981_BLANK","7981_BLANK2","7981_BLANK",0,"APP"
"7981_copy2","7981_BLANK","7981_BLANK2","7981_BLANK",0,"APP"
"7981_BLANK","7981_BLANK2","7981_BLANK2","7981_BLANK",0,"APP"
"7981_BLANK2","7981_BLANK2","7981_BLANK2","7981_BLANK",0,"APP"
"7981_copy2","7981_BLANK2","7981_BLANK2","7981_BLANK",0,"APP"
"7981_BLANK","7981_copy1","7981_BLANK2","7981_BLANK",0,"APP"
"7981_BLANK2","7981_copy1","7981_BLANK2","7981_BLANK",0,"APP"
"7981_copy2","7981_copy1","7981_BLANK2","7981_BLANK",0,"APP"
"7981_BLANK","7981_BLANK","7981_copy1","7981_BLANK",0,"APP"
"7981_BLANK2","7981_BLANK","7981_copy1","7981_BLANK",0,"APP"
"7981_copy2","7981_BLANK","7981_copy1","7981_BLANK",0,"APP"
"7981_BLANK","7981_BLANK2","7981_copy1","7981_BLANK",0,"APP"
"7981_BLANK2","7981_BLANK2","7981_copy1","7981_BLANK",0,"APP"
"7981_copy2","7981_BLANK2","7981_copy1","7981_BLANK",0.00249910746162085,"APP"
"7981_BLANK","7981_copy1","7981_copy1","7981_BLANK",0,"APP"
"7981_BLANK2","7981_copy1","7981_copy1","7981_BLANK",0,"APP"
"7981_copy2","7981_copy1","7981_copy1","7981_BLANK",0,"APP"
"7981_BLANK","7981_BLANK","7981_BLANK2","7981_BLANK2",0,"APP"
"7981_BLANK2","7981_BLANK","7981_BLANK2","7981_BLANK2",0,"APP"
"7981_copy2","7981_BLANK","7981_BLANK2","7981_BLANK2",0,"APP"
"7981_BLANK","7981_BLANK2","7981_BLANK2","7981_BLANK2",0,"APP"
"7981_BLANK2","7981_BLANK2","7981_BLANK2","7981_BLANK2",0,"APP"
"7981_copy2","7981_BLANK2","7981_BLANK2","7981_BLANK2",0,"APP"
"7981_BLANK","7981_copy1","7981_BLANK2","7981_BLANK2",0,"APP"
"7981_BLANK2","7981_copy1","7981_BLANK2","7981_BLANK2",0,"APP"
"7981_copy2","7981_copy1","7981_BLANK2","7981_BLANK2",0,"APP"
"7981_BLANK","7981_BLANK","7981_copy1","7981_BLANK2",0,"APP"
"7981_BLANK2","7981_BLANK","7981_copy1","7981_BLANK2",0,"APP"
"7981_copy2","7981_BLANK","7981_copy1","7981_BLANK2",0.00196358443413067,"APP"
"7981_BLANK","7981_BLANK2","7981_copy1","7981_BLANK2",0,"APP"
"7981_BLANK2","7981_BLANK2","7981_copy1","7981_BLANK2",0,"APP"
"7981_copy2","7981_BLANK2","7981_copy1","7981_BLANK2",0,"APP"
"7981_BLANK","7981_copy1","7981_copy1","7981_BLANK2",0,"APP"
"7981_BLANK2","7981_copy1","7981_copy1","7981_BLANK2",0,"APP"
"7981_copy2","7981_copy1","7981_copy1","7981_BLANK2",0,"APP"
"7981_BLANK","7981_BLANK","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK","7981_BLANK2","7981_copy2",0,"APP"
"7981_copy2","7981_BLANK","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK","7981_BLANK2","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK2","7981_BLANK2","7981_copy2",0,"APP"
"7981_copy2","7981_BLANK2","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK","7981_copy1","7981_BLANK2","7981_copy2",0.000178507675830061,"APP"
"7981_BLANK2","7981_copy1","7981_BLANK2","7981_copy2",0,"APP"
"7981_copy2","7981_copy1","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK","7981_BLANK","7981_copy1","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK","7981_copy1","7981_copy2",0.506069260978222,"APP"
"7981_copy2","7981_BLANK","7981_copy1","7981_copy2",0,"APP"
"7981_BLANK","7981_BLANK2","7981_copy1","7981_copy2",0.489289539450196,"APP"
"7981_BLANK2","7981_BLANK2","7981_copy1","7981_copy2",0,"APP"
"7981_copy2","7981_BLANK2","7981_copy1","7981_copy2",0,"APP"
"7981_BLANK","7981_copy1","7981_copy1","7981_copy2",0,"APP"
"7981_BLANK2","7981_copy1","7981_copy1","7981_copy2",0,"APP"
"7981_copy2","7981_copy1","7981_copy1","7981_copy2",0,"APP"
"7981_copy1","7981_copy2","7981_copy3","7981_BLANK",1,"GAP"
"7981_BLANK","7981_BLANK","7981_copy2","7981_copy1",0,"IBR"
"7981_BLANK2","7981_BLANK","7981_copy2","7981_copy1",0.494644769725098,"IBR"
"7981_BLANK","7981_BLANK2","7981_copy2","7981_copy1",0.505355230274902,"IBR"
"7981_BLANK2","7981_BLANK2","7981_copy2","7981_copy1",0,"IBR"
"7981_BLANK","7981_copy3","7981_copy1","7981_copy2",1,"PGI"
