"G_oyamense_sp2_8739_A","G_oyamense_sp2_8739_B","joint_prob","locus"
"8739_copy1","8739_copy1",0,"APP"
"8739_copy2","8739_copy1",0.477508032845412,"APP"
"8739_copy1","8739_copy2",0.522491967154588,"APP"
"8739_copy2","8739_copy2",0,"APP"
"8739_copy1","8739_copy1",0,"GAP"
"8739_copy2","8739_copy1",0.475722956087112,"GAP"
"8739_copy1","8739_copy2",0.524277043912888,"GAP"
"8739_copy2","8739_copy2",0,"GAP"
"8739_copy1","8739_copy1",0,"IBR"
"8739_copy2","8739_copy1",0.504641199571582,"IBR"
"8739_copy1","8739_copy2",0.495358800428418,"IBR"
"8739_copy2","8739_copy2",0,"IBR"
"8739_copy1","8739_copy1",0,"PGI"
"8739_copy2","8739_copy1",0.515887183148875,"PGI"
"8739_copy1","8739_copy2",0.484112816851125,"PGI"
"8739_copy2","8739_copy2",0,"PGI"
