"C_diaphana_6380_A","C_diaphana_6380_B","joint_prob","locus"
"6380_BLANK","6380_BLANK",0,"APP"
"6380_BLANK2","6380_BLANK",0.497500892538379,"APP"
"6380_BLANK","6380_BLANK2",0.502499107461621,"APP"
"6380_BLANK2","6380_BLANK2",0,"APP"
"6380_copy1","6380_copy1",0,"GAP"
"6380_copy2","6380_copy1",0.509282399143163,"GAP"
"6380_copy1","6380_copy2",0.490717600856837,"GAP"
"6380_copy2","6380_copy2",0,"GAP"
"6380_BLANK","6380_BLANK",0,"IBR"
"6380_BLANK2","6380_BLANK",0.505355230274902,"IBR"
"6380_BLANK","6380_BLANK2",0.494644769725098,"IBR"
"6380_BLANK2","6380_BLANK2",0,"IBR"
"6380_copy1","6380_copy1",0,"PGI"
"6380_copy2","6380_copy1",0.501606569082471,"PGI"
"6380_copy1","6380_copy2",0.498393430917529,"PGI"
"6380_copy2","6380_copy2",0,"PGI"
