"C_pellucida_6055_A","C_pellucida_6055_B","joint_prob","locus"
"6055_copy1","6055_copy1",0,"APP"
"6055_copy2","6055_copy1",0.505355230274902,"APP"
"6055_copy1","6055_copy2",0.494644769725098,"APP"
"6055_copy2","6055_copy2",0,"APP"
"6055_copy1","6055_copy1",0,"GAP"
"6055_copy2","6055_copy1",0.505890753302392,"GAP"
"6055_copy1","6055_copy2",0.494109246697608,"GAP"
"6055_copy2","6055_copy2",0,"GAP"
"6055_copy1","6055_copy1",0,"IBR"
"6055_copy2","6055_copy1",0.495180292752588,"IBR"
"6055_copy1","6055_copy2",0.504819707247412,"IBR"
"6055_copy2","6055_copy2",0,"IBR"
"6055_copy1","6055_copy1",0,"PGI"
"6055_copy2","6055_copy1",0.49857193859336,"PGI"
"6055_copy1","6055_copy2",0.501428061406641,"PGI"
"6055_copy2","6055_copy2",0,"PGI"
