"marginal_prob","phase","locus","tip_name"
1,"6137_copy2","APP","A_taiwaniana_6137_A"
1,"6137_copy1","APP","A_taiwaniana_6137_B"
1,"6137_copy2","GAP","A_taiwaniana_6137_A"
1,"6137_copy1","GAP","A_taiwaniana_6137_B"
1,"6137_copy1","IBR","A_taiwaniana_6137_A"
1,"6137_copy2","IBR","A_taiwaniana_6137_B"
1,"6137_copy1","PGI","A_taiwaniana_6137_A"
1,"6137_copy2","PGI","A_taiwaniana_6137_B"
0.495715815780079,"8704_BLANK","APP","A_tenuisecta_sp2_8704_A"
0.504284184219921,"8704_BLANK2","APP","A_tenuisecta_sp2_8704_A"
0.504284184219921,"8704_BLANK","APP","A_tenuisecta_sp2_8704_B"
0.495715815780079,"8704_BLANK2","APP","A_tenuisecta_sp2_8704_B"
1,"8704_copy2","GAP","A_tenuisecta_sp2_8704_A"
1,"8704_copy1","GAP","A_tenuisecta_sp2_8704_B"
1,"8704_copy1","IBR","A_tenuisecta_sp2_8704_A"
1,"8704_copy2","IBR","A_tenuisecta_sp2_8704_B"
1,"8704_copy1","PGI","A_tenuisecta_sp2_8704_A"
1,"8704_BLANK","PGI","A_tenuisecta_sp2_8704_B"
1,"8745_copy1","APP","A_tenuisecta_sp3_8745_A"
1,"8745_copy2","APP","A_tenuisecta_sp3_8745_B"
1,"8745_copy1","GAP","A_tenuisecta_sp3_8745_A"
1,"8745_copy2","GAP","A_tenuisecta_sp3_8745_B"
1,"8745_copy2","IBR","A_tenuisecta_sp3_8745_A"
1,"8745_copy1","IBR","A_tenuisecta_sp3_8745_B"
1,"8745_copy1","PGI","A_tenuisecta_sp3_8745_A"
1,"8745_copy2","PGI","A_tenuisecta_sp3_8745_B"
0.502499107461621,"6380_BLANK","APP","C_diaphana_6380_A"
0.497500892538379,"6380_BLANK2","APP","C_diaphana_6380_A"
0.497500892538379,"6380_BLANK","APP","C_diaphana_6380_B"
0.502499107461621,"6380_BLANK2","APP","C_diaphana_6380_B"
0.490717600856837,"6380_copy1","GAP","C_diaphana_6380_A"
0.509282399143163,"6380_copy2","GAP","C_diaphana_6380_A"
0.509282399143163,"6380_copy1","GAP","C_diaphana_6380_B"
0.490717600856837,"6380_copy2","GAP","C_diaphana_6380_B"
0.494644769725098,"6380_BLANK","IBR","C_diaphana_6380_A"
0.505355230274902,"6380_BLANK2","IBR","C_diaphana_6380_A"
0.505355230274902,"6380_BLANK","IBR","C_diaphana_6380_B"
0.494644769725098,"6380_BLANK2","IBR","C_diaphana_6380_B"
0.498393430917529,"6380_copy1","PGI","C_diaphana_6380_A"
0.501606569082471,"6380_copy2","PGI","C_diaphana_6380_A"
0.501606569082471,"6380_copy1","PGI","C_diaphana_6380_B"
0.498393430917529,"6380_copy2","PGI","C_diaphana_6380_B"
1,"7009_copy2","APP","C_fragilis_sp1_7009_A"
1,"7009_copy1","APP","C_fragilis_sp1_7009_B"
1,"7009_copy1","GAP","C_fragilis_sp1_7009_A"
1,"7009_BLANK","GAP","C_fragilis_sp1_7009_B"
1,"7009_copy2","IBR","C_fragilis_sp1_7009_A"
1,"7009_copy1","IBR","C_fragilis_sp1_7009_B"
1,"7009_copy1","PGI","C_fragilis_sp1_7009_A"
1,"7009_copy2","PGI","C_fragilis_sp1_7009_B"
0.486790431988576,"7943_copy1","APP","C_montana_7943_A"
0.513209568011424,"7943_copy2","APP","C_montana_7943_A"
0.513209568011424,"7943_copy1","APP","C_montana_7943_B"
0.486790431988576,"7943_copy2","APP","C_montana_7943_B"
0.486968939664406,"7943_copy1","GAP","C_montana_7943_A"
0.513031060335594,"7943_copy2","GAP","C_montana_7943_A"
0.513031060335594,"7943_copy1","GAP","C_montana_7943_B"
0.486968939664406,"7943_copy2","GAP","C_montana_7943_B"
0.513031060335594,"7943_copy1","IBR","C_montana_7943_A"
0.486968939664406,"7943_copy2","IBR","C_montana_7943_A"
0.486968939664406,"7943_copy1","IBR","C_montana_7943_B"
0.513031060335594,"7943_copy2","IBR","C_montana_7943_B"
0.517672259907176,"7943_copy1","PGI","C_montana_7943_A"
0.482327740092824,"7943_copy2","PGI","C_montana_7943_A"
0.482327740092824,"7943_copy1","PGI","C_montana_7943_B"
0.517672259907176,"7943_copy2","PGI","C_montana_7943_B"
0.494644769725098,"6055_copy1","APP","C_pellucida_6055_A"
0.505355230274902,"6055_copy2","APP","C_pellucida_6055_A"
0.505355230274902,"6055_copy1","APP","C_pellucida_6055_B"
0.494644769725098,"6055_copy2","APP","C_pellucida_6055_B"
0.494109246697608,"6055_copy1","GAP","C_pellucida_6055_A"
0.505890753302392,"6055_copy2","GAP","C_pellucida_6055_A"
0.505890753302392,"6055_copy1","GAP","C_pellucida_6055_B"
0.494109246697608,"6055_copy2","GAP","C_pellucida_6055_B"
0.504819707247412,"6055_copy1","IBR","C_pellucida_6055_A"
0.495180292752588,"6055_copy2","IBR","C_pellucida_6055_A"
0.495180292752588,"6055_copy1","IBR","C_pellucida_6055_B"
0.504819707247412,"6055_copy2","IBR","C_pellucida_6055_B"
0.501428061406641,"6055_copy1","PGI","C_pellucida_6055_A"
0.49857193859336,"6055_copy2","PGI","C_pellucida_6055_A"
0.49857193859336,"6055_copy1","PGI","C_pellucida_6055_B"
0.501428061406641,"6055_copy2","PGI","C_pellucida_6055_B"
1,"8674_copy2","APP","C_sudetica_8674_A"
1,"8674_copy1","APP","C_sudetica_8674_B"
1,"8674_copy2","GAP","C_sudetica_8674_A"
1,"8674_copy1","GAP","C_sudetica_8674_B"
1,"8674_copy2","IBR","C_sudetica_8674_A"
1,"8674_copy1","IBR","C_sudetica_8674_B"
1,"8674_copy1","PGI","C_sudetica_8674_A"
1,"8674_copy2","PGI","C_sudetica_8674_B"
1,"6379_copy2","APP","C_tasmanica_6379_A"
1,"6379_copy1","APP","C_tasmanica_6379_B"
0.673687968582649,"6379_copy1","GAP","C_tasmanica_6379_A"
0.326312031417351,"6379_copy2","GAP","C_tasmanica_6379_A"
0.326312031417351,"6379_copy1","GAP","C_tasmanica_6379_B"
0.673687968582649,"6379_copy2","GAP","C_tasmanica_6379_B"
0.919136022848983,"6379_BLANK","IBR","C_tasmanica_6379_A"
0.0808639771510175,"6379_copy1","IBR","C_tasmanica_6379_A"
0.0808639771510175,"6379_BLANK","IBR","C_tasmanica_6379_B"
0.919136022848983,"6379_copy1","IBR","C_tasmanica_6379_B"
1,"6379_copy2","PGI","C_tasmanica_6379_A"
1,"6379_copy1","PGI","C_tasmanica_6379_B"
1,"6387_copy1","APP","C_tenuis_6387_A"
1,"6387_copy2","APP","C_tenuis_6387_B"
1,"6387_copy1","GAP","C_tenuis_6387_A"
1,"6387_copy2","GAP","C_tenuis_6387_B"
1,"6387_copy1","IBR","C_tenuis_6387_A"
