"C_montana_7943_A","C_montana_7943_B","joint_prob","locus"
"7943_copy1","7943_copy1",0,"APP"
"7943_copy2","7943_copy1",0.514102106390575,"APP"
"7943_copy1","7943_copy2",0.485897893609425,"APP"
"7943_copy2","7943_copy2",0,"APP"
"7943_copy1","7943_copy1",0,"GAP"
"7943_copy2","7943_copy1",0.505176722599072,"GAP"
"7943_copy1","7943_copy2",0.494823277400928,"GAP"
"7943_copy2","7943_copy2",0,"GAP"
"7943_copy1","7943_copy1",0,"IBR"
"7943_copy2","7943_copy1",0.486611924312745,"IBR"
"7943_copy1","7943_copy2",0.513388075687255,"IBR"
"7943_copy2","7943_copy2",0,"IBR"
"7943_copy1","7943_copy1",0,"PGI"
"7943_copy2","7943_copy1",0.493395215994288,"PGI"
"7943_copy1","7943_copy2",0.506604784005712,"PGI"
"7943_copy2","7943_copy2",0,"PGI"
