"G_oyamense_sp2_8739_A","G_oyamense_sp2_8739_B","joint_prob","locus"
"8739_copy1","8739_copy1",0,"APP"
"8739_copy2","8739_copy1",0.466797572295609,"APP"
"8739_copy1","8739_copy2",0.533202427704391,"APP"
"8739_copy2","8739_copy2",0,"APP"
"8739_copy1","8739_copy1",0,"GAP"
"8739_copy2","8739_copy1",0.467868618350589,"GAP"
"8739_copy1","8739_copy2",0.532131381649411,"GAP"
"8739_copy2","8739_copy2",0,"GAP"
"8739_copy1","8739_copy1",0,"IBR"
"8739_copy2","8739_copy1",0.489111031774366,"IBR"
"8739_copy1","8739_copy2",0.510888968225634,"IBR"
"8739_copy2","8739_copy2",0,"IBR"
"8739_copy1","8739_copy1",0,"PGI"
"8739_copy2","8739_copy1",0.510531952873974,"PGI"
"8739_copy1","8739_copy2",0.489468047126026,"PGI"
"8739_copy2","8739_copy2",0,"PGI"
