"C_diaphana_6380_A","C_diaphana_6380_B","joint_prob","locus"
"6380_BLANK","6380_BLANK",0,"APP"
"6380_BLANK2","6380_BLANK",0.515173152445555,"APP"
"6380_BLANK","6380_BLANK2",0.484826847554445,"APP"
"6380_BLANK2","6380_BLANK2",0,"APP"
"6380_copy1","6380_copy1",0,"GAP"
"6380_copy2","6380_copy1",0.504998214923242,"GAP"
"6380_copy1","6380_copy2",0.495001785076758,"GAP"
"6380_copy2","6380_copy2",0,"GAP"
"6380_BLANK","6380_BLANK",0,"IBR"
"6380_BLANK2","6380_BLANK",0.505890753302392,"IBR"
"6380_BLANK","6380_BLANK2",0.494109246697608,"IBR"
"6380_BLANK2","6380_BLANK2",0,"IBR"
"6380_copy1","6380_copy1",0,"PGI"
"6380_copy2","6380_copy1",0.494466262049268,"PGI"
"6380_copy1","6380_copy2",0.505533737950732,"PGI"
"6380_copy2","6380_copy2",0,"PGI"
