"C_montana_7943_A","C_montana_7943_B","joint_prob","locus"
"7943_copy1","7943_copy1",0,"APP"
"7943_copy2","7943_copy1",0.486254908961085,"APP"
"7943_copy1","7943_copy2",0.513745091038915,"APP"
"7943_copy2","7943_copy2",0,"APP"
"7943_copy1","7943_copy1",0,"GAP"
"7943_copy2","7943_copy1",0.507318814709033,"GAP"
"7943_copy1","7943_copy2",0.492681185290967,"GAP"
"7943_copy2","7943_copy2",0,"GAP"
"7943_copy1","7943_copy1",0,"IBR"
"7943_copy2","7943_copy1",0.505712245626562,"IBR"
"7943_copy1","7943_copy2",0.494287754373438,"IBR"
"7943_copy2","7943_copy2",0,"IBR"
"7943_copy1","7943_copy1",0,"PGI"
"7943_copy2","7943_copy1",0.479471617279543,"PGI"
"7943_copy1","7943_copy2",0.520528382720457,"PGI"
"7943_copy2","7943_copy2",0,"PGI"
