"C_pellucida_6055_A","C_pellucida_6055_B","joint_prob","locus"
"6055_copy1","6055_copy1",0,"APP"
"6055_copy2","6055_copy1",0.496251338807569,"APP"
"6055_copy1","6055_copy2",0.503748661192431,"APP"
"6055_copy2","6055_copy2",0,"APP"
"6055_copy1","6055_copy1",0,"GAP"
"6055_copy2","6055_copy1",0.489111031774366,"GAP"
"6055_copy1","6055_copy2",0.510888968225634,"GAP"
"6055_copy2","6055_copy2",0,"GAP"
"6055_copy1","6055_copy1",0,"IBR"
"6055_copy2","6055_copy1",0.514459121742235,"IBR"
"6055_copy1","6055_copy2",0.485540878257765,"IBR"
"6055_copy2","6055_copy2",0,"IBR"
"6055_copy1","6055_copy1",0,"PGI"
"6055_copy2","6055_copy1",0.519992859692967,"PGI"
"6055_copy1","6055_copy2",0.480007140307033,"PGI"
"6055_copy2","6055_copy2",0,"PGI"
