"G_dryopteris_7981_A","G_dryopteris_7981_B","G_dryopteris_7981_C","G_dryopteris_7981_D","joint_prob","locus"
"7981_BLANK","7981_copy2","7981_BLANK","7981_BLANK",0,"APP"
"7981_BLANK2","7981_copy2","7981_BLANK","7981_BLANK",0,"APP"
"7981_copy1","7981_copy2","7981_BLANK","7981_BLANK",0,"APP"
"7981_BLANK","7981_copy2","7981_BLANK2","7981_BLANK",0,"APP"
"7981_BLANK2","7981_copy2","7981_BLANK2","7981_BLANK",0,"APP"
"7981_copy1","7981_copy2","7981_BLANK2","7981_BLANK",0.455730096394145,"APP"
"7981_BLANK","7981_copy2","7981_copy1","7981_BLANK",0,"APP"
"7981_BLANK2","7981_copy2","7981_copy1","7981_BLANK",0.0303463048911103,"APP"
"7981_copy1","7981_copy2","7981_copy1","7981_BLANK",0,"APP"
"7981_BLANK","7981_copy2","7981_BLANK","7981_BLANK2",0,"APP"
"7981_BLANK2","7981_copy2","7981_BLANK","7981_BLANK2",0,"APP"
"7981_copy1","7981_copy2","7981_BLANK","7981_BLANK2",0.476079971438772,"APP"
"7981_BLANK","7981_copy2","7981_BLANK2","7981_BLANK2",0,"APP"
"7981_BLANK2","7981_copy2","7981_BLANK2","7981_BLANK2",0,"APP"
"7981_copy1","7981_copy2","7981_BLANK2","7981_BLANK2",0,"APP"
"7981_BLANK","7981_copy2","7981_copy1","7981_BLANK2",0.0274901820778293,"APP"
"7981_BLANK2","7981_copy2","7981_copy1","7981_BLANK2",0,"APP"
"7981_copy1","7981_copy2","7981_copy1","7981_BLANK2",0,"APP"
"7981_BLANK","7981_copy2","7981_BLANK","7981_copy1",0,"APP"
"7981_BLANK2","7981_copy2","7981_BLANK","7981_copy1",0.00642627632988218,"APP"
"7981_copy1","7981_copy2","7981_BLANK","7981_copy1",0,"APP"
"7981_BLANK","7981_copy2","7981_BLANK2","7981_copy1",0.00392716886826134,"APP"
"7981_BLANK2","7981_copy2","7981_BLANK2","7981_copy1",0,"APP"
"7981_copy1","7981_copy2","7981_BLANK2","7981_copy1",0,"APP"
"7981_BLANK","7981_copy2","7981_copy1","7981_copy1",0,"APP"
"7981_BLANK2","7981_copy2","7981_copy1","7981_copy1",0,"APP"
"7981_copy1","7981_copy2","7981_copy1","7981_copy1",0,"APP"
"7981_BLANK","7981_copy1","7981_BLANK","7981_BLANK",0,"GAP"
"7981_copy3","7981_copy1","7981_BLANK","7981_BLANK",0,"GAP"
"7981_BLANK","7981_copy1","7981_copy2","7981_BLANK",0,"GAP"
"7981_copy3","7981_copy1","7981_copy2","7981_BLANK",0.891110317743663,"GAP"
"7981_BLANK","7981_copy1","7981_BLANK","7981_copy2",0,"GAP"
"7981_copy3","7981_copy1","7981_BLANK","7981_copy2",0.108711174580507,"GAP"
"7981_BLANK","7981_copy1","7981_copy2","7981_copy2",0,"GAP"
"7981_copy3","7981_copy1","7981_copy2","7981_copy2",0,"GAP"
"7981_BLANK","7981_copy1","7981_BLANK","7981_copy3",0,"GAP"
"7981_copy3","7981_copy1","7981_BLANK","7981_copy3",0,"GAP"
"7981_BLANK","7981_copy1","7981_copy2","7981_copy3",0.000178507675830061,"GAP"
"7981_copy3","7981_copy1","7981_copy2","7981_copy3",0,"GAP"
"7981_copy2","7981_copy1","7981_BLANK","7981_BLANK",0,"IBR"
"7981_copy2","7981_copy1","7981_BLANK2","7981_BLANK",0.502499107461621,"IBR"
"7981_copy2","7981_copy1","7981_BLANK","7981_BLANK2",0.497500892538379,"IBR"
"7981_copy2","7981_copy1","7981_BLANK2","7981_BLANK2",0,"IBR"
"7981_BLANK","7981_copy2","7981_BLANK","7981_BLANK",0,"PGI"
"7981_copy1","7981_copy2","7981_BLANK","7981_BLANK",0,"PGI"
"7981_BLANK","7981_copy2","7981_copy1","7981_BLANK",0,"PGI"
"7981_copy1","7981_copy2","7981_copy1","7981_BLANK",0,"PGI"
"7981_BLANK","7981_copy2","7981_copy3","7981_BLANK",0,"PGI"
"7981_copy1","7981_copy2","7981_copy3","7981_BLANK",0.0091038914673331,"PGI"
"7981_BLANK","7981_copy2","7981_BLANK","7981_copy1",0,"PGI"
"7981_copy1","7981_copy2","7981_BLANK","7981_copy1",0,"PGI"
"7981_BLANK","7981_copy2","7981_copy1","7981_copy1",0,"PGI"
"7981_copy1","7981_copy2","7981_copy1","7981_copy1",0,"PGI"
"7981_BLANK","7981_copy2","7981_copy3","7981_copy1",0.0974651910032131,"PGI"
"7981_copy1","7981_copy2","7981_copy3","7981_copy1",0,"PGI"
"7981_BLANK","7981_copy2","7981_BLANK","7981_copy3",0,"PGI"
"7981_copy1","7981_copy2","7981_BLANK","7981_copy3",0.0585505176722599,"PGI"
"7981_BLANK","7981_copy2","7981_copy1","7981_copy3",0.834880399857194,"PGI"
"7981_copy1","7981_copy2","7981_copy1","7981_copy3",0,"PGI"
"7981_BLANK","7981_copy2","7981_copy3","7981_copy3",0,"PGI"
"7981_copy1","7981_copy2","7981_copy3","7981_copy3",0,"PGI"
