"G_oyamense_sp2_8739_A","G_oyamense_sp2_8739_B","joint_prob","locus"
"8739_copy1","8739_copy1",0,"APP"
"8739_copy2","8739_copy1",0.468225633702249,"APP"
"8739_copy1","8739_copy2",0.531774366297751,"APP"
"8739_copy2","8739_copy2",0,"APP"
"8739_copy1","8739_copy1",0,"GAP"
"8739_copy2","8739_copy1",0.46929667975723,"GAP"
"8739_copy1","8739_copy2",0.53070332024277,"GAP"
"8739_copy2","8739_copy2",0,"GAP"
"8739_copy1","8739_copy1",0,"IBR"
"8739_copy2","8739_copy1",0.494823277400928,"IBR"
"8739_copy1","8739_copy2",0.505176722599072,"IBR"
"8739_copy2","8739_copy2",0,"IBR"
"8739_copy1","8739_copy1",0,"PGI"
"8739_copy2","8739_copy1",0.506783291681542,"PGI"
"8739_copy1","8739_copy2",0.493216708318458,"PGI"
"8739_copy2","8739_copy2",0,"PGI"
