"marginal_prob","phase","locus","tip_name"
1,"6137_copy1","APP","A_taiwaniana_6137_A"
1,"6137_copy2","APP","A_taiwaniana_6137_B"
1,"6137_copy1","GAP","A_taiwaniana_6137_A"
1,"6137_copy2","GAP","A_taiwaniana_6137_B"
1,"6137_copy2","IBR","A_taiwaniana_6137_A"
1,"6137_copy1","IBR","A_taiwaniana_6137_B"
1,"6137_copy2","PGI","A_taiwaniana_6137_A"
1,"6137_copy1","PGI","A_taiwaniana_6137_B"
0.49892895394502,"8704_BLANK","APP","A_tenuisecta_sp2_8704_A"
0.50107104605498,"8704_BLANK2","APP","A_tenuisecta_sp2_8704_A"
0.50107104605498,"8704_BLANK","APP","A_tenuisecta_sp2_8704_B"
0.49892895394502,"8704_BLANK2","APP","A_tenuisecta_sp2_8704_B"
1,"8704_copy2","GAP","A_tenuisecta_sp2_8704_A"
1,"8704_copy1","GAP","A_tenuisecta_sp2_8704_B"
1,"8704_copy1","IBR","A_tenuisecta_sp2_8704_A"
1,"8704_copy2","IBR","A_tenuisecta_sp2_8704_B"
1,"8704_copy1","PGI","A_tenuisecta_sp2_8704_A"
1,"8704_BLANK","PGI","A_tenuisecta_sp2_8704_B"
1,"8745_copy1","APP","A_tenuisecta_sp3_8745_A"
1,"8745_copy2","APP","A_tenuisecta_sp3_8745_B"
1,"8745_copy1","GAP","A_tenuisecta_sp3_8745_A"
1,"8745_copy2","GAP","A_tenuisecta_sp3_8745_B"
1,"8745_copy2","IBR","A_tenuisecta_sp3_8745_A"
1,"8745_copy1","IBR","A_tenuisecta_sp3_8745_B"
1,"8745_copy1","PGI","A_tenuisecta_sp3_8745_A"
1,"8745_copy2","PGI","A_tenuisecta_sp3_8745_B"
0.484826847554445,"6380_BLANK","APP","C_diaphana_6380_A"
0.515173152445555,"6380_BLANK2","APP","C_diaphana_6380_A"
0.515173152445555,"6380_BLANK","APP","C_diaphana_6380_B"
0.484826847554445,"6380_BLANK2","APP","C_diaphana_6380_B"
0.495001785076758,"6380_copy1","GAP","C_diaphana_6380_A"
0.504998214923242,"6380_copy2","GAP","C_diaphana_6380_A"
0.504998214923242,"6380_copy1","GAP","C_diaphana_6380_B"
0.495001785076758,"6380_copy2","GAP","C_diaphana_6380_B"
0.494109246697608,"6380_BLANK","IBR","C_diaphana_6380_A"
0.505890753302392,"6380_BLANK2","IBR","C_diaphana_6380_A"
0.505890753302392,"6380_BLANK","IBR","C_diaphana_6380_B"
0.494109246697608,"6380_BLANK2","IBR","C_diaphana_6380_B"
0.505533737950732,"6380_copy1","PGI","C_diaphana_6380_A"
0.494466262049268,"6380_copy2","PGI","C_diaphana_6380_A"
0.494466262049268,"6380_copy1","PGI","C_diaphana_6380_B"
0.505533737950732,"6380_copy2","PGI","C_diaphana_6380_B"
1,"7009_copy2","APP","C_fragilis_sp1_7009_A"
1,"7009_copy1","APP","C_fragilis_sp1_7009_B"
1,"7009_copy1","GAP","C_fragilis_sp1_7009_A"
1,"7009_BLANK","GAP","C_fragilis_sp1_7009_B"
1,"7009_copy2","IBR","C_fragilis_sp1_7009_A"
1,"7009_copy1","IBR","C_fragilis_sp1_7009_B"
1,"7009_copy1","PGI","C_fragilis_sp1_7009_A"
1,"7009_copy2","PGI","C_fragilis_sp1_7009_B"
0.513745091038915,"7943_copy1","APP","C_montana_7943_A"
0.486254908961085,"7943_copy2","APP","C_montana_7943_A"
0.486254908961085,"7943_copy1","APP","C_montana_7943_B"
0.513745091038915,"7943_copy2","APP","C_montana_7943_B"
0.492681185290967,"7943_copy1","GAP","C_montana_7943_A"
0.507318814709033,"7943_copy2","GAP","C_montana_7943_A"
0.507318814709033,"7943_copy1","GAP","C_montana_7943_B"
0.492681185290967,"7943_copy2","GAP","C_montana_7943_B"
0.494287754373438,"7943_copy1","IBR","C_montana_7943_A"
0.505712245626562,"7943_copy2","IBR","C_montana_7943_A"
0.505712245626562,"7943_copy1","IBR","C_montana_7943_B"
0.494287754373438,"7943_copy2","IBR","C_montana_7943_B"
0.520528382720457,"7943_copy1","PGI","C_montana_7943_A"
0.479471617279543,"7943_copy2","PGI","C_montana_7943_A"
0.479471617279543,"7943_copy1","PGI","C_montana_7943_B"
0.520528382720457,"7943_copy2","PGI","C_montana_7943_B"
0.503748661192431,"6055_copy1","APP","C_pellucida_6055_A"
0.496251338807569,"6055_copy2","APP","C_pellucida_6055_A"
0.496251338807569,"6055_copy1","APP","C_pellucida_6055_B"
0.503748661192431,"6055_copy2","APP","C_pellucida_6055_B"
0.510888968225634,"6055_copy1","GAP","C_pellucida_6055_A"
0.489111031774366,"6055_copy2","GAP","C_pellucida_6055_A"
0.489111031774366,"6055_copy1","GAP","C_pellucida_6055_B"
0.510888968225634,"6055_copy2","GAP","C_pellucida_6055_B"
0.485540878257765,"6055_copy1","IBR","C_pellucida_6055_A"
0.514459121742235,"6055_copy2","IBR","C_pellucida_6055_A"
0.514459121742235,"6055_copy1","IBR","C_pellucida_6055_B"
0.485540878257765,"6055_copy2","IBR","C_pellucida_6055_B"
0.480007140307033,"6055_copy1","PGI","C_pellucida_6055_A"
0.519992859692967,"6055_copy2","PGI","C_pellucida_6055_A"
0.519992859692967,"6055_copy1","PGI","C_pellucida_6055_B"
0.480007140307033,"6055_copy2","PGI","C_pellucida_6055_B"
1,"8674_copy1","APP","C_sudetica_8674_A"
1,"8674_copy2","APP","C_sudetica_8674_B"
1,"8674_copy1","GAP","C_sudetica_8674_A"
1,"8674_copy2","GAP","C_sudetica_8674_B"
1,"8674_copy1","IBR","C_sudetica_8674_A"
1,"8674_copy2","IBR","C_sudetica_8674_B"
1,"8674_copy2","PGI","C_sudetica_8674_A"
1,"8674_copy1","PGI","C_sudetica_8674_B"
1,"6379_copy2","APP","C_tasmanica_6379_A"
1,"6379_copy1","APP","C_tasmanica_6379_B"
0.67547304534095,"6379_copy1","GAP","C_tasmanica_6379_A"
0.32452695465905,"6379_copy2","GAP","C_tasmanica_6379_A"
0.32452695465905,"6379_copy1","GAP","C_tasmanica_6379_B"
0.67547304534095,"6379_copy2","GAP","C_tasmanica_6379_B"
0.902713316672617,"6379_BLANK","IBR","C_tasmanica_6379_A"
0.0972866833273831,"6379_copy1","IBR","C_tasmanica_6379_A"
0.0972866833273831,"6379_BLANK","IBR","C_tasmanica_6379_B"
0.902713316672617,"6379_copy1","IBR","C_tasmanica_6379_B"
1,"6379_copy2","PGI","C_tasmanica_6379_A"
1,"6379_copy1","PGI","C_tasmanica_6379_B"
1,"6387_copy1","APP","C_tenuis_6387_A"
1,"6387_copy2","APP","C_tenuis_6387_B"
1,"6387_copy1","GAP","C_tenuis_6387_A"
1,"6387_copy2","GAP","C_tenuis_6387_B"
1,"6387_copy1","IBR","C_tenuis_6387_A"
1,"6387_copy2","IBR","C_tenuis_6387_B"
1,"6387_copy2","PGI","C_tenuis_6387_A"
1,"6387_copy1","PGI","C_tenuis_6387_B"
1,"6848_copy2","APP","C_utahensis_6848_A"
1,"6848_copy1","APP","C_utahensis_6848_B"
1,"6848_copy1","GAP","C_utahensis_6848_A"
1,"6848_copy2","GAP","C_utahensis_6848_B"
0.506426276329882,"6848_BLANK","IBR","C_utahensis_6848_A"
0.493573723670118,"6848_BLANK2","IBR","C_utahensis_6848_A"
0.493573723670118,"6848_BLANK","IBR","C_utahensis_6848_B"
0.506426276329882,"6848_BLANK2","IBR","C_utahensis_6848_B"
1,"6848_copy1","PGI","C_utahensis_6848_A"
1,"6848_BLANK","PGI","C_utahensis_6848_B"
1,"6979_copy1","APP","G_continentale_6979_A"
1,"6979_copy2","APP","G_continentale_6979_B"
1,"6979_copy2","GAP","G_continentale_6979_A"
1,"6979_copy1","GAP","G_continentale_6979_B"
1,"6979_copy1","IBR","G_continentale_6979_A"
1,"6979_copy2","IBR","G_continentale_6979_B"
1,"6979_copy2","PGI","G_continentale_6979_A"
1,"6979_copy1","PGI","G_continentale_6979_B"
0.0314173509460907,"7981_BLANK","APP","G_dryopteris_7981_A"
0.0367725812209925,"7981_BLANK2","APP","G_dryopteris_7981_A"
0.931810067832917,"7981_copy1","APP","G_dryopteris_7981_A"
1,"7981_copy2","APP","G_dryopteris_7981_B"
0.482506247768654,"7981_BLANK","APP","G_dryopteris_7981_C"
0.459657265262406,"7981_BLANK2","APP","G_dryopteris_7981_C"
0.0578364869689397,"7981_copy1","APP","G_dryopteris_7981_C"
0.486076401285255,"7981_BLANK","APP","G_dryopteris_7981_D"
0.503570153516601,"7981_BLANK2","APP","G_dryopteris_7981_D"
0.0103534451981435,"7981_copy1","APP","G_dryopteris_7981_D"
0.000178507675830061,"7981_BLANK","GAP","G_dryopteris_7981_A"
0.99982149232417,"7981_copy3","GAP","G_dryopteris_7981_A"
1,"7981_copy1","GAP","G_dryopteris_7981_B"
0.108711174580507,"7981_BLANK","GAP","G_dryopteris_7981_C"
0.891288825419493,"7981_copy2","GAP","G_dryopteris_7981_C"
0.891110317743663,"7981_BLANK","GAP","G_dryopteris_7981_D"
0.108711174580507,"7981_copy2","GAP","G_dryopteris_7981_D"
0.000178507675830061,"7981_copy3","GAP","G_dryopteris_7981_D"
1,"7981_copy2","IBR","G_dryopteris_7981_A"
1,"7981_copy1","IBR","G_dryopteris_7981_B"
0.497500892538379,"7981_BLANK","IBR","G_dryopteris_7981_C"
0.502499107461621,"7981_BLANK2","IBR","G_dryopteris_7981_C"
0.502499107461621,"7981_BLANK","IBR","G_dryopteris_7981_D"
0.497500892538379,"7981_BLANK2","IBR","G_dryopteris_7981_D"
0.932345590860407,"7981_BLANK","PGI","G_dryopteris_7981_A"
0.067654409139593,"7981_copy1","PGI","G_dryopteris_7981_A"
1,"7981_copy2","PGI","G_dryopteris_7981_B"
0.0585505176722599,"7981_BLANK","PGI","G_dryopteris_7981_C"
0.834880399857194,"7981_copy1","PGI","G_dryopteris_7981_C"
0.106569082470546,"7981_copy3","PGI","G_dryopteris_7981_C"
0.0091038914673331,"7981_BLANK","PGI","G_dryopteris_7981_D"
0.0974651910032131,"7981_copy1","PGI","G_dryopteris_7981_D"
0.893430917529454,"7981_copy3","PGI","G_dryopteris_7981_D"
0.531774366297751,"8739_copy1","APP","G_oyamense_sp2_8739_A"
0.468225633702249,"8739_copy2","APP","G_oyamense_sp2_8739_A"
0.468225633702249,"8739_copy1","APP","G_oyamense_sp2_8739_B"
0.531774366297751,"8739_copy2","APP","G_oyamense_sp2_8739_B"
0.53070332024277,"8739_copy1","GAP","G_oyamense_sp2_8739_A"
0.46929667975723,"8739_copy2","GAP","G_oyamense_sp2_8739_A"
0.46929667975723,"8739_copy1","GAP","G_oyamense_sp2_8739_B"
0.53070332024277,"8739_copy2","GAP","G_oyamense_sp2_8739_B"
0.505176722599072,"8739_copy1","IBR","G_oyamense_sp2_8739_A"
0.494823277400928,"8739_copy2","IBR","G_oyamense_sp2_8739_A"
0.494823277400928,"8739_copy1","IBR","G_oyamense_sp2_8739_B"
0.505176722599072,"8739_copy2","IBR","G_oyamense_sp2_8739_B"
0.493216708318458,"8739_copy1","PGI","G_oyamense_sp2_8739_A"
0.506783291681542,"8739_copy2","PGI","G_oyamense_sp2_8739_A"
0.506783291681542,"8739_copy1","PGI","G_oyamense_sp2_8739_B"
0.493216708318458,"8739_copy2","PGI","G_oyamense_sp2_8739_B"
1,"4862_copy2","APP","G_remotepinnatum_4862_A"
1,"4862_copy1","APP","G_remotepinnatum_4862_B"
1,"4862_copy2","GAP","G_remotepinnatum_4862_A"
1,"4862_copy1","GAP","G_remotepinnatum_4862_B"
1,"4862_copy2","IBR","G_remotepinnatum_4862_A"
1,"4862_copy1","IBR","G_remotepinnatum_4862_B"
1,"4862_copy1","PGI","G_remotepinnatum_4862_A"
1,"4862_copy2","PGI","G_remotepinnatum_4862_B"
1,"7945_copy1","APP","G_robertianum_7945_A"
1,"7945_copy2","APP","G_robertianum_7945_B"
1,"7945_copy2","GAP","G_robertianum_7945_A"
1,"7945_copy1","GAP","G_robertianum_7945_B"
1,"7945_copy2","IBR","G_robertianum_7945_A"
1,"7945_copy1","IBR","G_robertianum_7945_B"
1,"7945_copy1","PGI","G_robertianum_7945_A"
1,"7945_copy2","PGI","G_robertianum_7945_B"
1,"7974_copy4","APP","xCystocarpium_7974_A"
1,"7974_copy2","APP","xCystocarpium_7974_B"
1,"7974_copy1","APP","xCystocarpium_7974_C"
1,"7974_copy3","APP","xCystocarpium_7974_D"
1,"7974_copy3","GAP","xCystocarpium_7974_A"
1,"7974_copy2","GAP","xCystocarpium_7974_B"
1,"7974_copy1","GAP","xCystocarpium_7974_C"
1,"7974_copy4","GAP","xCystocarpium_7974_D"
1,"7974_copy4","IBR","xCystocarpium_7974_A"
1,"7974_copy1","IBR","xCystocarpium_7974_B"
1,"7974_copy2","IBR","xCystocarpium_7974_C"
1,"7974_copy3","IBR","xCystocarpium_7974_D"
1,"7974_copy3","PGI","xCystocarpium_7974_A"
1,"7974_copy2","PGI","xCystocarpium_7974_B"
1,"7974_copy1","PGI","xCystocarpium_7974_C"
1,"7974_copy4","PGI","xCystocarpium_7974_D"
