"C_diaphana_6380_A","C_diaphana_6380_B","joint_prob","locus"
"6380_BLANK","6380_BLANK",0,"APP"
"6380_BLANK2","6380_BLANK",0.503927168868261,"APP"
"6380_BLANK","6380_BLANK2",0.496072831131739,"APP"
"6380_BLANK2","6380_BLANK2",0,"APP"
"6380_copy1","6380_copy1",0,"GAP"
"6380_copy2","6380_copy1",0.50071403070332,"GAP"
"6380_copy1","6380_copy2",0.49928596929668,"GAP"
"6380_copy2","6380_copy2",0,"GAP"
"6380_BLANK","6380_BLANK",0,"IBR"
"6380_BLANK2","6380_BLANK",0.506604784005712,"IBR"
"6380_BLANK","6380_BLANK2",0.493395215994288,"IBR"
"6380_BLANK2","6380_BLANK2",0,"IBR"
"6380_copy1","6380_copy1",0,"PGI"
"6380_copy2","6380_copy1",0.476615494466262,"PGI"
"6380_copy1","6380_copy2",0.523384505533738,"PGI"
"6380_copy2","6380_copy2",0,"PGI"
