"C_montana_7943_A","C_montana_7943_B","joint_prob","locus"
"7943_copy1","7943_copy1",0,"APP"
"7943_copy2","7943_copy1",0.467154587647269,"APP"
"7943_copy1","7943_copy2",0.532845412352731,"APP"
"7943_copy2","7943_copy2",0,"APP"
"7943_copy1","7943_copy1",0,"GAP"
"7943_copy2","7943_copy1",0.494466262049268,"GAP"
"7943_copy1","7943_copy2",0.505533737950732,"GAP"
"7943_copy2","7943_copy2",0,"GAP"
"7943_copy1","7943_copy1",0,"IBR"
"7943_copy2","7943_copy1",0.520349875044627,"IBR"
"7943_copy1","7943_copy2",0.479650124955373,"IBR"
"7943_copy2","7943_copy2",0,"IBR"
"7943_copy1","7943_copy1",0,"PGI"
"7943_copy2","7943_copy1",0.512674044983934,"PGI"
"7943_copy1","7943_copy2",0.487325955016066,"PGI"
"7943_copy2","7943_copy2",0,"PGI"
