"G_oyamense_sp2_8739_A","G_oyamense_sp2_8739_B","joint_prob","locus"
"8739_copy1","8739_copy1",0,"APP"
"8739_copy2","8739_copy1",0.503213138164941,"APP"
"8739_copy1","8739_copy2",0.496786861835059,"APP"
"8739_copy2","8739_copy2",0,"APP"
"8739_copy1","8739_copy1",0,"GAP"
"8739_copy2","8739_copy1",0.49857193859336,"GAP"
"8739_copy1","8739_copy2",0.501428061406641,"GAP"
"8739_copy2","8739_copy2",0,"GAP"
"8739_copy1","8739_copy1",0,"IBR"
"8739_copy2","8739_copy1",0.487325955016066,"IBR"
"8739_copy1","8739_copy2",0.512674044983934,"IBR"
"8739_copy2","8739_copy2",0,"IBR"
"8739_copy1","8739_copy1",0,"PGI"
"8739_copy2","8739_copy1",0.506069260978222,"PGI"
"8739_copy1","8739_copy2",0.493930739021778,"PGI"
"8739_copy2","8739_copy2",0,"PGI"
