"C_pellucida_6055_A","C_pellucida_6055_B","joint_prob","locus"
"6055_copy1","6055_copy1",0,"APP"
"6055_copy2","6055_copy1",0.484112816851125,"APP"
"6055_copy1","6055_copy2",0.515887183148875,"APP"
"6055_copy2","6055_copy2",0,"APP"
"6055_copy1","6055_copy1",0,"GAP"
"6055_copy2","6055_copy1",0.511245983577294,"GAP"
"6055_copy1","6055_copy2",0.488754016422706,"GAP"
"6055_copy2","6055_copy2",0,"GAP"
"6055_copy1","6055_copy1",0,"IBR"
"6055_copy2","6055_copy1",0.476258479114602,"IBR"
"6055_copy1","6055_copy2",0.523741520885398,"IBR"
"6055_copy2","6055_copy2",0,"IBR"
"6055_copy1","6055_copy1",0,"PGI"
"6055_copy2","6055_copy1",0.473759371652981,"PGI"
"6055_copy1","6055_copy2",0.526240628347019,"PGI"
"6055_copy2","6055_copy2",0,"PGI"
