"C_tasmanica_6379_A","C_tasmanica_6379_B","joint_prob","locus"
"6379_copy1","6379_copy1",0,"APP"
"6379_copy2","6379_copy1",0.368261335237415,"APP"
"6379_copy1","6379_copy2",0.631738664762585,"APP"
"6379_copy2","6379_copy2",0,"APP"
"6379_copy1","6379_copy1",0,"GAP"
"6379_copy2","6379_copy1",0.560514102106391,"GAP"
"6379_copy1","6379_copy2",0.439485897893609,"GAP"
"6379_copy2","6379_copy2",0,"GAP"
"6379_BLANK","6379_BLANK",0,"IBR"
"6379_copy1","6379_BLANK",0.631917172438415,"IBR"
"6379_BLANK","6379_copy1",0.368082827561585,"IBR"
"6379_copy1","6379_copy1",0,"IBR"
"6379_copy1","6379_copy1",0,"PGI"
"6379_copy2","6379_copy1",0.368975365940735,"PGI"
"6379_copy1","6379_copy2",0.631024634059265,"PGI"
"6379_copy2","6379_copy2",0,"PGI"
