"marginal_prob","phase","locus","tip_name"
1,"6137_copy1","APP","A_taiwaniana_6137_A"
1,"6137_copy2","APP","A_taiwaniana_6137_B"
1,"6137_copy1","GAP","A_taiwaniana_6137_A"
1,"6137_copy2","GAP","A_taiwaniana_6137_B"
1,"6137_copy2","IBR","A_taiwaniana_6137_A"
1,"6137_copy1","IBR","A_taiwaniana_6137_B"
1,"6137_copy2","PGI","A_taiwaniana_6137_A"
1,"6137_copy1","PGI","A_taiwaniana_6137_B"
0.50071403070332,"8704_BLANK","APP","A_tenuisecta_sp2_8704_A"
0.49928596929668,"8704_BLANK2","APP","A_tenuisecta_sp2_8704_A"
0.49928596929668,"8704_BLANK","APP","A_tenuisecta_sp2_8704_B"
0.50071403070332,"8704_BLANK2","APP","A_tenuisecta_sp2_8704_B"
1,"8704_copy1","GAP","A_tenuisecta_sp2_8704_A"
1,"8704_copy2","GAP","A_tenuisecta_sp2_8704_B"
1,"8704_copy2","IBR","A_tenuisecta_sp2_8704_A"
1,"8704_copy1","IBR","A_tenuisecta_sp2_8704_B"
1,"8704_BLANK","PGI","A_tenuisecta_sp2_8704_A"
1,"8704_copy1","PGI","A_tenuisecta_sp2_8704_B"
1,"8745_copy1","APP","A_tenuisecta_sp3_8745_A"
1,"8745_copy2","APP","A_tenuisecta_sp3_8745_B"
1,"8745_copy1","GAP","A_tenuisecta_sp3_8745_A"
1,"8745_copy2","GAP","A_tenuisecta_sp3_8745_B"
1,"8745_copy2","IBR","A_tenuisecta_sp3_8745_A"
1,"8745_copy1","IBR","A_tenuisecta_sp3_8745_B"
1,"8745_copy1","PGI","A_tenuisecta_sp3_8745_A"
1,"8745_copy2","PGI","A_tenuisecta_sp3_8745_B"
0.49892895394502,"6380_BLANK","APP","C_diaphana_6380_A"
0.50107104605498,"6380_BLANK2","APP","C_diaphana_6380_A"
0.50107104605498,"6380_BLANK","APP","C_diaphana_6380_B"
0.49892895394502,"6380_BLANK2","APP","C_diaphana_6380_B"
0.524634059264548,"6380_copy1","GAP","C_diaphana_6380_A"
0.475365940735452,"6380_copy2","GAP","C_diaphana_6380_A"
0.475365940735452,"6380_copy1","GAP","C_diaphana_6380_B"
0.524634059264548,"6380_copy2","GAP","C_diaphana_6380_B"
0.485005355230275,"6380_BLANK","IBR","C_diaphana_6380_A"
0.514994644769725,"6380_BLANK2","IBR","C_diaphana_6380_A"
0.514994644769725,"6380_BLANK","IBR","C_diaphana_6380_B"
0.485005355230275,"6380_BLANK2","IBR","C_diaphana_6380_B"
0.504819707247412,"6380_copy1","PGI","C_diaphana_6380_A"
0.495180292752588,"6380_copy2","PGI","C_diaphana_6380_A"
0.495180292752588,"6380_copy1","PGI","C_diaphana_6380_B"
0.504819707247412,"6380_copy2","PGI","C_diaphana_6380_B"
1,"7009_copy2","APP","C_fragilis_sp1_7009_A"
1,"7009_copy1","APP","C_fragilis_sp1_7009_B"
1,"7009_copy1","GAP","C_fragilis_sp1_7009_A"
1,"7009_BLANK","GAP","C_fragilis_sp1_7009_B"
1,"7009_copy2","IBR","C_fragilis_sp1_7009_A"
1,"7009_copy1","IBR","C_fragilis_sp1_7009_B"
0.000892538379150304,"7009_copy1","PGI","C_fragilis_sp1_7009_A"
0.99910746162085,"7009_copy2","PGI","C_fragilis_sp1_7009_A"
0.99910746162085,"7009_copy1","PGI","C_fragilis_sp1_7009_B"
0.000892538379150304,"7009_copy2","PGI","C_fragilis_sp1_7009_B"
1,"7248_copy2","APP","C_fragilis_sp2_7248_A"
1,"7248_copy1","APP","C_fragilis_sp2_7248_B"
1,"7248_copy1","GAP","C_fragilis_sp2_7248_A"
1,"7248_copy2","GAP","C_fragilis_sp2_7248_B"
0.0740806854694752,"7248_copy1","IBR","C_fragilis_sp2_7248_A"
0.925919314530525,"7248_copy2","IBR","C_fragilis_sp2_7248_A"
0.925919314530525,"7248_copy1","IBR","C_fragilis_sp2_7248_B"
0.0740806854694752,"7248_copy2","IBR","C_fragilis_sp2_7248_B"
1,"7248_copy1","PGI","C_fragilis_sp2_7248_A"
1,"7248_copy2","PGI","C_fragilis_sp2_7248_B"
0.494109246697608,"7943_copy1","APP","C_montana_7943_A"
0.505890753302392,"7943_copy2","APP","C_montana_7943_A"
0.505890753302392,"7943_copy1","APP","C_montana_7943_B"
0.494109246697608,"7943_copy2","APP","C_montana_7943_B"
0.494644769725098,"7943_copy1","GAP","C_montana_7943_A"
0.505355230274902,"7943_copy2","GAP","C_montana_7943_A"
0.505355230274902,"7943_copy1","GAP","C_montana_7943_B"
0.494644769725098,"7943_copy2","GAP","C_montana_7943_B"
0.523563013209568,"7943_copy1","IBR","C_montana_7943_A"
0.476436986790432,"7943_copy2","IBR","C_montana_7943_A"
0.476436986790432,"7943_copy1","IBR","C_montana_7943_B"
0.523563013209568,"7943_copy2","IBR","C_montana_7943_B"
0.507140307033202,"7943_copy1","PGI","C_montana_7943_A"
0.492859692966798,"7943_copy2","PGI","C_montana_7943_A"
0.492859692966798,"7943_copy1","PGI","C_montana_7943_B"
0.507140307033202,"7943_copy2","PGI","C_montana_7943_B"
0.516601213852196,"6055_copy1","APP","C_pellucida_6055_A"
0.483398786147804,"6055_copy2","APP","C_pellucida_6055_A"
0.483398786147804,"6055_copy1","APP","C_pellucida_6055_B"
0.516601213852196,"6055_copy2","APP","C_pellucida_6055_B"
0.488218493395216,"6055_copy1","GAP","C_pellucida_6055_A"
0.511781506604784,"6055_copy2","GAP","C_pellucida_6055_A"
0.511781506604784,"6055_copy1","GAP","C_pellucida_6055_B"
0.488218493395216,"6055_copy2","GAP","C_pellucida_6055_B"
0.522313459478758,"6055_copy1","IBR","C_pellucida_6055_A"
0.477686540521242,"6055_copy2","IBR","C_pellucida_6055_A"
0.477686540521242,"6055_copy1","IBR","C_pellucida_6055_B"
0.522313459478758,"6055_copy2","IBR","C_pellucida_6055_B"
0.524277043912888,"6055_copy1","PGI","C_pellucida_6055_A"
0.475722956087112,"6055_copy2","PGI","C_pellucida_6055_A"
0.475722956087112,"6055_copy1","PGI","C_pellucida_6055_B"
0.524277043912888,"6055_copy2","PGI","C_pellucida_6055_B"
1,"8674_copy1","APP","C_sudetica_8674_A"
1,"8674_copy2","APP","C_sudetica_8674_B"
1,"8674_copy1","GAP","C_sudetica_8674_A"
1,"8674_copy2","GAP","C_sudetica_8674_B"
1,"8674_copy1","IBR","C_sudetica_8674_A"
1,"8674_copy2","IBR","C_sudetica_8674_B"
1,"8674_copy2","PGI","C_sudetica_8674_A"
1,"8674_copy1","PGI","C_sudetica_8674_B"
0.631738664762585,"6379_copy1","APP","C_tasmanica_6379_A"
0.368261335237415,"6379_copy2","APP","C_tasmanica_6379_A"
0.368261335237415,"6379_copy1","APP","C_tasmanica_6379_B"
0.631738664762585,"6379_copy2","APP","C_tasmanica_6379_B"
0.439485897893609,"6379_copy1","GAP","C_tasmanica_6379_A"
0.560514102106391,"6379_copy2","GAP","C_tasmanica_6379_A"
0.560514102106391,"6379_copy1","GAP","C_tasmanica_6379_B"
0.439485897893609,"6379_copy2","GAP","C_tasmanica_6379_B"
0.368082827561585,"6379_BLANK","IBR","C_tasmanica_6379_A"
0.631917172438415,"6379_copy1","IBR","C_tasmanica_6379_A"
0.631917172438415,"6379_BLANK","IBR","C_tasmanica_6379_B"
0.368082827561585,"6379_copy1","IBR","C_tasmanica_6379_B"
0.631024634059265,"6379_copy1","PGI","C_tasmanica_6379_A"
0.368975365940735,"6379_copy2","PGI","C_tasmanica_6379_A"
0.368975365940735,"6379_copy1","PGI","C_tasmanica_6379_B"
0.631024634059265,"6379_copy2","PGI","C_tasmanica_6379_B"
1,"6387_copy2","APP","C_tenuis_6387_A"
1,"6387_copy1","APP","C_tenuis_6387_B"
1,"6387_copy2","GAP","C_tenuis_6387_A"
1,"6387_copy1","GAP","C_tenuis_6387_B"
1,"6387_copy2","IBR","C_tenuis_6387_A"
1,"6387_copy1","IBR","C_tenuis_6387_B"
1,"6387_copy1","PGI","C_tenuis_6387_A"
1,"6387_copy2","PGI","C_tenuis_6387_B"
1,"6848_copy2","APP","C_utahensis_6848_A"
1,"6848_copy1","APP","C_utahensis_6848_B"
1,"6848_copy1","GAP","C_utahensis_6848_A"
1,"6848_copy2","GAP","C_utahensis_6848_B"
0.491253123884327,"6848_BLANK","IBR","C_utahensis_6848_A"
0.508746876115673,"6848_BLANK2","IBR","C_utahensis_6848_A"
0.508746876115673,"6848_BLANK","IBR","C_utahensis_6848_B"
0.491253123884327,"6848_BLANK2","IBR","C_utahensis_6848_B"
1,"6848_copy1","PGI","C_utahensis_6848_A"
1,"6848_BLANK","PGI","C_utahensis_6848_B"
1,"6979_copy2","APP","G_continentale_6979_A"
1,"6979_copy1","APP","G_continentale_6979_B"
1,"6979_copy1","GAP","G_continentale_6979_A"
1,"6979_copy2","GAP","G_continentale_6979_B"
1,"6979_copy2","IBR","G_continentale_6979_A"
1,"6979_copy1","IBR","G_continentale_6979_B"
1,"6979_copy1","PGI","G_continentale_6979_A"
1,"6979_copy2","PGI","G_continentale_6979_B"
0.467333095323099,"8739_copy1","APP","G_oyamense_sp2_8739_A"
0.532666904676901,"8739_copy2","APP","G_oyamense_sp2_8739_A"
0.532666904676901,"8739_copy1","APP","G_oyamense_sp2_8739_B"
0.467333095323099,"8739_copy2","APP","G_oyamense_sp2_8739_B"
0.464655480185648,"8739_copy1","GAP","G_oyamense_sp2_8739_A"
0.535344519814352,"8739_copy2","GAP","G_oyamense_sp2_8739_A"
0.535344519814352,"8739_copy1","GAP","G_oyamense_sp2_8739_B"
0.464655480185648,"8739_copy2","GAP","G_oyamense_sp2_8739_B"
0.514459121742235,"8739_copy1","IBR","G_oyamense_sp2_8739_A"
0.485540878257765,"8739_copy2","IBR","G_oyamense_sp2_8739_A"
0.485540878257765,"8739_copy1","IBR","G_oyamense_sp2_8739_B"
0.514459121742235,"8739_copy2","IBR","G_oyamense_sp2_8739_B"
0.514280614066405,"8739_copy1","PGI","G_oyamense_sp2_8739_A"
0.485719385933595,"8739_copy2","PGI","G_oyamense_sp2_8739_A"
0.485719385933595,"8739_copy1","PGI","G_oyamense_sp2_8739_B"
0.514280614066405,"8739_copy2","PGI","G_oyamense_sp2_8739_B"
1,"4862_copy2","APP","G_remotepinnatum_4862_A"
1,"4862_copy1","APP","G_remotepinnatum_4862_B"
1,"4862_copy2","GAP","G_remotepinnatum_4862_A"
1,"4862_copy1","GAP","G_remotepinnatum_4862_B"
1,"4862_copy2","IBR","G_remotepinnatum_4862_A"
1,"4862_copy1","IBR","G_remotepinnatum_4862_B"
1,"4862_copy1","PGI","G_remotepinnatum_4862_A"
1,"4862_copy2","PGI","G_remotepinnatum_4862_B"
1,"7945_copy2","APP","G_robertianum_7945_A"
1,"7945_copy1","APP","G_robertianum_7945_B"
1,"7945_copy1","GAP","G_robertianum_7945_A"
1,"7945_copy2","GAP","G_robertianum_7945_B"
1,"7945_copy1","IBR","G_robertianum_7945_A"
1,"7945_copy2","IBR","G_robertianum_7945_B"
1,"7945_copy2","PGI","G_robertianum_7945_A"
1,"7945_copy1","PGI","G_robertianum_7945_B"
