"C_diaphana_6380_A","C_diaphana_6380_B","joint_prob","locus"
"6380_BLANK","6380_BLANK",0,"APP"
"6380_BLANK2","6380_BLANK",0.496608354159229,"APP"
"6380_BLANK","6380_BLANK2",0.503391645840771,"APP"
"6380_BLANK2","6380_BLANK2",0,"APP"
"6380_copy1","6380_copy1",0,"GAP"
"6380_copy2","6380_copy1",0.495894323455909,"GAP"
"6380_copy1","6380_copy2",0.504105676544091,"GAP"
"6380_copy2","6380_copy2",0,"GAP"
"6380_BLANK","6380_BLANK",0,"IBR"
"6380_BLANK2","6380_BLANK",0.506604784005712,"IBR"
"6380_BLANK","6380_BLANK2",0.493395215994288,"IBR"
"6380_BLANK2","6380_BLANK2",0,"IBR"
"6380_copy1","6380_copy1",0,"PGI"
"6380_copy2","6380_copy1",0.519457336665477,"PGI"
"6380_copy1","6380_copy2",0.480542663334523,"PGI"
"6380_copy2","6380_copy2",0,"PGI"
