"C_montana_7943_A","C_montana_7943_B","joint_prob","locus"
"7943_copy1","7943_copy1",0,"APP"
"7943_copy2","7943_copy1",0.541413780792574,"APP"
"7943_copy1","7943_copy2",0.458586219207426,"APP"
"7943_copy2","7943_copy2",0,"APP"
"7943_copy1","7943_copy1",0,"GAP"
"7943_copy2","7943_copy1",0.516065690824705,"GAP"
"7943_copy1","7943_copy2",0.483934309175295,"GAP"
"7943_copy2","7943_copy2",0,"GAP"
"7943_copy1","7943_copy1",0,"IBR"
"7943_copy2","7943_copy1",0.47072474116387,"IBR"
"7943_copy1","7943_copy2",0.52927525883613,"IBR"
"7943_copy2","7943_copy2",0,"IBR"
"7943_copy1","7943_copy1",0,"PGI"
"7943_copy2","7943_copy1",0.478043555872903,"PGI"
"7943_copy1","7943_copy2",0.521956444127098,"PGI"
"7943_copy2","7943_copy2",0,"PGI"
