"C_pellucida_6055_A","C_pellucida_6055_B","joint_prob","locus"
"6055_copy1","6055_copy1",0,"APP"
"6055_copy2","6055_copy1",0.493752231345948,"APP"
"6055_copy1","6055_copy2",0.506247768654052,"APP"
"6055_copy2","6055_copy2",0,"APP"
"6055_copy1","6055_copy1",0,"GAP"
"6055_copy2","6055_copy1",0.503034630489111,"GAP"
"6055_copy1","6055_copy2",0.496965369510889,"GAP"
"6055_copy2","6055_copy2",0,"GAP"
"6055_copy1","6055_copy1",0,"IBR"
"6055_copy2","6055_copy1",0.489646554801856,"IBR"
"6055_copy1","6055_copy2",0.510353445198144,"IBR"
"6055_copy2","6055_copy2",0,"IBR"
"6055_copy1","6055_copy1",0,"PGI"
"6055_copy2","6055_copy1",0.496072831131739,"PGI"
"6055_copy1","6055_copy2",0.503927168868261,"PGI"
"6055_copy2","6055_copy2",0,"PGI"
