"G_dryopteris_7981_A","G_dryopteris_7981_B","G_dryopteris_7981_C","G_dryopteris_7981_D","joint_prob","locus"
"7981_BLANK","7981_BLANK","7981_BLANK","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK","7981_BLANK","7981_copy2",0,"APP"
"7981_BLANK","7981_BLANK2","7981_BLANK","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK2","7981_BLANK","7981_copy2",0,"APP"
"7981_BLANK","7981_copy1","7981_BLANK","7981_copy2",0,"APP"
"7981_BLANK2","7981_copy1","7981_BLANK","7981_copy2",0.397179578721885,"APP"
"7981_BLANK","7981_BLANK","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK","7981_BLANK2","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK2","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK","7981_copy1","7981_BLANK2","7981_copy2",0.377008211353088,"APP"
"7981_BLANK2","7981_copy1","7981_BLANK2","7981_copy2",0,"APP"
"7981_BLANK","7981_BLANK","7981_copy1","7981_copy2",0,"APP"
"7981_BLANK2","7981_BLANK","7981_copy1","7981_copy2",0.115494466262049,"APP"
"7981_BLANK","7981_BLANK2","7981_copy1","7981_copy2",0.110317743662978,"APP"
"7981_BLANK2","7981_BLANK2","7981_copy1","7981_copy2",0,"APP"
"7981_BLANK","7981_copy1","7981_copy1","7981_copy2",0,"APP"
"7981_BLANK2","7981_copy1","7981_copy1","7981_copy2",0,"APP"
"7981_BLANK","7981_copy2","7981_copy3","7981_copy1",1,"GAP"
"7981_BLANK","7981_copy2","7981_BLANK","7981_copy1",0,"IBR"
"7981_BLANK2","7981_copy2","7981_BLANK","7981_copy1",0.494466262049268,"IBR"
"7981_BLANK","7981_copy2","7981_BLANK2","7981_copy1",0.505533737950732,"IBR"
"7981_BLANK2","7981_copy2","7981_BLANK2","7981_copy1",0,"IBR"
"7981_copy3","7981_BLANK","7981_BLANK","7981_copy2",0,"PGI"
"7981_copy3","7981_copy1","7981_BLANK","7981_copy2",0.935737236701178,"PGI"
"7981_copy3","7981_BLANK","7981_copy1","7981_copy2",0.0642627632988218,"PGI"
"7981_copy3","7981_copy1","7981_copy1","7981_copy2",0,"PGI"
