"G_oyamense_sp2_8739_A","G_oyamense_sp2_8739_B","joint_prob","locus"
"8739_copy1","8739_copy1",0,"APP"
"8739_copy2","8739_copy1",0.572831131738665,"APP"
"8739_copy1","8739_copy2",0.427168868261335,"APP"
"8739_copy2","8739_copy2",0,"APP"
"8739_copy1","8739_copy1",0,"GAP"
"8739_copy2","8739_copy1",0.580685469475187,"GAP"
"8739_copy1","8739_copy2",0.419314530524813,"GAP"
"8739_copy2","8739_copy2",0,"GAP"
"8739_copy1","8739_copy1",0,"IBR"
"8739_copy2","8739_copy1",0.49892895394502,"IBR"
"8739_copy1","8739_copy2",0.50107104605498,"IBR"
"8739_copy2","8739_copy2",0,"IBR"
"8739_copy1","8739_copy1",0,"PGI"
"8739_copy2","8739_copy1",0.482149232416994,"PGI"
"8739_copy1","8739_copy2",0.517850767583006,"PGI"
"8739_copy2","8739_copy2",0,"PGI"
