"C_diaphana_6380_A","C_diaphana_6380_B","joint_prob","locus"
"6380_BLANK","6380_BLANK",0,"APP"
"6380_BLANK2","6380_BLANK",0.510710460549804,"APP"
"6380_BLANK","6380_BLANK2",0.489289539450196,"APP"
"6380_BLANK2","6380_BLANK2",0,"APP"
"6380_copy1","6380_copy1",0,"GAP"
"6380_copy2","6380_copy1",0.425562299178865,"GAP"
"6380_copy1","6380_copy2",0.574437700821135,"GAP"
"6380_copy2","6380_copy2",0,"GAP"
"6380_BLANK","6380_BLANK",0,"IBR"
"6380_BLANK2","6380_BLANK",0.515887183148875,"IBR"
"6380_BLANK","6380_BLANK2",0.484112816851125,"IBR"
"6380_BLANK2","6380_BLANK2",0,"IBR"
"6380_copy1","6380_copy1",0,"PGI"
"6380_copy2","6380_copy1",0.563191717243842,"PGI"
"6380_copy1","6380_copy2",0.436808282756159,"PGI"
"6380_copy2","6380_copy2",0,"PGI"
