"C_montana_7943_A","C_montana_7943_B","joint_prob","locus"
"7943_copy1","7943_copy1",0,"APP"
"7943_copy2","7943_copy1",0.517136736879686,"APP"
"7943_copy1","7943_copy2",0.482863263120314,"APP"
"7943_copy2","7943_copy2",0,"APP"
"7943_copy1","7943_copy1",0,"GAP"
"7943_copy2","7943_copy1",0.502677615137451,"GAP"
"7943_copy1","7943_copy2",0.497322384862549,"GAP"
"7943_copy2","7943_copy2",0,"GAP"
"7943_copy1","7943_copy1",0,"IBR"
"7943_copy2","7943_copy1",0.473937879328811,"IBR"
"7943_copy1","7943_copy2",0.526062120671189,"IBR"
"7943_copy2","7943_copy2",0,"IBR"
"7943_copy1","7943_copy1",0,"PGI"
"7943_copy2","7943_copy1",0.492502677615137,"PGI"
"7943_copy1","7943_copy2",0.507497322384863,"PGI"
"7943_copy2","7943_copy2",0,"PGI"
