"C_pellucida_6055_A","C_pellucida_6055_B","joint_prob","locus"
"6055_copy1","6055_copy1",0,"APP"
"6055_copy2","6055_copy1",0.511960014280614,"APP"
"6055_copy1","6055_copy2",0.488039985719386,"APP"
"6055_copy2","6055_copy2",0,"APP"
"6055_copy1","6055_copy1",0,"GAP"
"6055_copy2","6055_copy1",0.504641199571582,"GAP"
"6055_copy1","6055_copy2",0.495358800428418,"GAP"
"6055_copy2","6055_copy2",0,"GAP"
"6055_copy1","6055_copy1",0,"IBR"
"6055_copy2","6055_copy1",0.501963584434131,"IBR"
"6055_copy1","6055_copy2",0.498036415565869,"IBR"
"6055_copy2","6055_copy2",0,"IBR"
"6055_copy1","6055_copy1",0,"PGI"
"6055_copy2","6055_copy1",0.485183862906105,"PGI"
"6055_copy1","6055_copy2",0.514816137093895,"PGI"
"6055_copy2","6055_copy2",0,"PGI"
