"G_oyamense_sp2_8739_A","G_oyamense_sp2_8739_B","joint_prob","locus"
"8739_copy1","8739_copy1",0,"APP"
"8739_copy2","8739_copy1",0.468404141378079,"APP"
"8739_copy1","8739_copy2",0.531595858621921,"APP"
"8739_copy2","8739_copy2",0,"APP"
"8739_copy1","8739_copy1",0,"GAP"
"8739_copy2","8739_copy1",0.468582649053909,"GAP"
"8739_copy1","8739_copy2",0.531417350946091,"GAP"
"8739_copy2","8739_copy2",0,"GAP"
"8739_copy1","8739_copy1",0,"IBR"
"8739_copy2","8739_copy1",0.493395215994288,"IBR"
"8739_copy1","8739_copy2",0.506604784005712,"IBR"
"8739_copy2","8739_copy2",0,"IBR"
"8739_copy1","8739_copy1",0,"PGI"
"8739_copy2","8739_copy1",0.512852552659764,"PGI"
"8739_copy1","8739_copy2",0.487147447340236,"PGI"
"8739_copy2","8739_copy2",0,"PGI"
