"C_diaphana_6380_A","C_diaphana_6380_B","joint_prob","locus"
"6380_BLANK","6380_BLANK",0,"APP"
"6380_BLANK2","6380_BLANK",0.494466262049268,"APP"
"6380_BLANK","6380_BLANK2",0.505533737950732,"APP"
"6380_BLANK2","6380_BLANK2",0,"APP"
"6380_copy1","6380_copy1",0,"GAP"
"6380_copy2","6380_copy1",0.460014280614066,"GAP"
"6380_copy1","6380_copy2",0.539985719385934,"GAP"
"6380_copy2","6380_copy2",0,"GAP"
"6380_BLANK","6380_BLANK",0,"IBR"
"6380_BLANK2","6380_BLANK",0.5,"IBR"
"6380_BLANK","6380_BLANK2",0.5,"IBR"
"6380_BLANK2","6380_BLANK2",0,"IBR"
"6380_copy1","6380_copy1",0,"PGI"
"6380_copy2","6380_copy1",0.522134951802928,"PGI"
"6380_copy1","6380_copy2",0.477865048197072,"PGI"
"6380_copy2","6380_copy2",0,"PGI"
