"C_montana_7943_A","C_montana_7943_B","joint_prob","locus"
"7943_copy1","7943_copy1",0,"APP"
"7943_copy2","7943_copy1",0.480185647982863,"APP"
"7943_copy1","7943_copy2",0.519814352017137,"APP"
"7943_copy2","7943_copy2",0,"APP"
"7943_copy1","7943_copy1",0,"GAP"
"7943_copy2","7943_copy1",0.505355230274902,"GAP"
"7943_copy1","7943_copy2",0.494644769725098,"GAP"
"7943_copy2","7943_copy2",0,"GAP"
"7943_copy1","7943_copy1",0,"IBR"
"7943_copy2","7943_copy1",0.510531952873974,"IBR"
"7943_copy1","7943_copy2",0.489468047126026,"IBR"
"7943_copy2","7943_copy2",0,"IBR"
"7943_copy1","7943_copy1",0,"PGI"
"7943_copy2","7943_copy1",0.504105676544091,"PGI"
"7943_copy1","7943_copy2",0.495894323455909,"PGI"
"7943_copy2","7943_copy2",0,"PGI"
