"C_pellucida_6055_A","C_pellucida_6055_B","joint_prob","locus"
"6055_copy1","6055_copy1",0,"APP"
"6055_copy2","6055_copy1",0.519278828989647,"APP"
"6055_copy1","6055_copy2",0.480721171010353,"APP"
"6055_copy2","6055_copy2",0,"APP"
"6055_copy1","6055_copy1",0,"GAP"
"6055_copy2","6055_copy1",0.515351660121385,"GAP"
"6055_copy1","6055_copy2",0.484648339878615,"GAP"
"6055_copy2","6055_copy2",0,"GAP"
"6055_copy1","6055_copy1",0,"IBR"
"6055_copy2","6055_copy1",0.509996429846483,"IBR"
"6055_copy1","6055_copy2",0.490003570153517,"IBR"
"6055_copy2","6055_copy2",0,"IBR"
"6055_copy1","6055_copy1",0,"PGI"
"6055_copy2","6055_copy1",0.495001785076758,"PGI"
"6055_copy1","6055_copy2",0.504998214923242,"PGI"
"6055_copy2","6055_copy2",0,"PGI"
