"C_tasmanica_6379_A","C_tasmanica_6379_B","joint_prob","locus"
"6379_copy1","6379_copy1",0,"APP"
"6379_copy2","6379_copy1",0.997857907890039,"APP"
"6379_copy1","6379_copy2",0.00214209210996073,"APP"
"6379_copy2","6379_copy2",0,"APP"
"6379_copy1","6379_copy1",0,"GAP"
"6379_copy2","6379_copy1",0.245269546590503,"GAP"
"6379_copy1","6379_copy2",0.754730453409497,"GAP"
"6379_copy2","6379_copy2",0,"GAP"
"6379_BLANK","6379_BLANK",0,"IBR"
"6379_copy1","6379_BLANK",0.0208853980721171,"IBR"
"6379_BLANK","6379_copy1",0.979114601927883,"IBR"
"6379_copy1","6379_copy1",0,"IBR"
"6379_copy1","6379_copy1",0,"PGI"
"6379_copy2","6379_copy1",0.996965369510889,"PGI"
"6379_copy1","6379_copy2",0.00303463048911103,"PGI"
"6379_copy2","6379_copy2",0,"PGI"
