"G_oyamense_sp2_8739_A","G_oyamense_sp2_8739_B","joint_prob","locus"
"8739_copy1","8739_copy1",0,"APP"
"8739_copy2","8739_copy1",0.468761156729739,"APP"
"8739_copy1","8739_copy2",0.531238843270261,"APP"
"8739_copy2","8739_copy2",0,"APP"
"8739_copy1","8739_copy1",0,"GAP"
"8739_copy2","8739_copy1",0.453588004284184,"GAP"
"8739_copy1","8739_copy2",0.546411995715816,"GAP"
"8739_copy2","8739_copy2",0,"GAP"
"8739_copy1","8739_copy1",0,"IBR"
"8739_copy2","8739_copy1",0.5,"IBR"
"8739_copy1","8739_copy2",0.5,"IBR"
"8739_copy2","8739_copy2",0,"IBR"
"8739_copy1","8739_copy1",0,"PGI"
"8739_copy2","8739_copy1",0.507675830060693,"PGI"
"8739_copy1","8739_copy2",0.492324169939307,"PGI"
"8739_copy2","8739_copy2",0,"PGI"
