"marginal_prob","phase","locus","tip_name"
1,"6137_copy2","APP","A_taiwaniana_6137_A"
1,"6137_copy1","APP","A_taiwaniana_6137_B"
1,"6137_copy2","GAP","A_taiwaniana_6137_A"
1,"6137_copy1","GAP","A_taiwaniana_6137_B"
1,"6137_copy1","IBR","A_taiwaniana_6137_A"
1,"6137_copy2","IBR","A_taiwaniana_6137_B"
1,"6137_copy1","PGI","A_taiwaniana_6137_A"
1,"6137_copy2","PGI","A_taiwaniana_6137_B"
0.507140307033202,"8704_BLANK","APP","A_tenuisecta_sp2_8704_A"
0.492859692966798,"8704_BLANK2","APP","A_tenuisecta_sp2_8704_A"
0.492859692966798,"8704_BLANK","APP","A_tenuisecta_sp2_8704_B"
0.507140307033202,"8704_BLANK2","APP","A_tenuisecta_sp2_8704_B"
1,"8704_copy2","GAP","A_tenuisecta_sp2_8704_A"
1,"8704_copy1","GAP","A_tenuisecta_sp2_8704_B"
1,"8704_copy1","IBR","A_tenuisecta_sp2_8704_A"
1,"8704_copy2","IBR","A_tenuisecta_sp2_8704_B"
1,"8704_copy1","PGI","A_tenuisecta_sp2_8704_A"
1,"8704_BLANK","PGI","A_tenuisecta_sp2_8704_B"
1,"8745_copy2","APP","A_tenuisecta_sp3_8745_A"
1,"8745_copy1","APP","A_tenuisecta_sp3_8745_B"
1,"8745_copy2","GAP","A_tenuisecta_sp3_8745_A"
1,"8745_copy1","GAP","A_tenuisecta_sp3_8745_B"
1,"8745_copy1","IBR","A_tenuisecta_sp3_8745_A"
1,"8745_copy2","IBR","A_tenuisecta_sp3_8745_B"
1,"8745_copy2","PGI","A_tenuisecta_sp3_8745_A"
1,"8745_copy1","PGI","A_tenuisecta_sp3_8745_B"
0.505533737950732,"6380_BLANK","APP","C_diaphana_6380_A"
0.494466262049268,"6380_BLANK2","APP","C_diaphana_6380_A"
0.494466262049268,"6380_BLANK","APP","C_diaphana_6380_B"
0.505533737950732,"6380_BLANK2","APP","C_diaphana_6380_B"
0.539985719385934,"6380_copy1","GAP","C_diaphana_6380_A"
0.460014280614066,"6380_copy2","GAP","C_diaphana_6380_A"
0.460014280614066,"6380_copy1","GAP","C_diaphana_6380_B"
0.539985719385934,"6380_copy2","GAP","C_diaphana_6380_B"
0.5,"6380_BLANK","IBR","C_diaphana_6380_A"
0.5,"6380_BLANK2","IBR","C_diaphana_6380_A"
0.5,"6380_BLANK","IBR","C_diaphana_6380_B"
0.5,"6380_BLANK2","IBR","C_diaphana_6380_B"
0.477865048197072,"6380_copy1","PGI","C_diaphana_6380_A"
0.522134951802928,"6380_copy2","PGI","C_diaphana_6380_A"
0.522134951802928,"6380_copy1","PGI","C_diaphana_6380_B"
0.477865048197072,"6380_copy2","PGI","C_diaphana_6380_B"
1,"7009_copy1","APP","C_fragilis_sp1_7009_A"
1,"7009_copy2","APP","C_fragilis_sp1_7009_B"
0.998571938593359,"7009_BLANK","GAP","C_fragilis_sp1_7009_A"
0.00142806140664049,"7009_copy1","GAP","C_fragilis_sp1_7009_A"
0.00142806140664049,"7009_BLANK","GAP","C_fragilis_sp1_7009_B"
0.998571938593359,"7009_copy1","GAP","C_fragilis_sp1_7009_B"
1,"7009_copy1","IBR","C_fragilis_sp1_7009_A"
1,"7009_copy2","IBR","C_fragilis_sp1_7009_B"
0.985005355230275,"7009_copy1","PGI","C_fragilis_sp1_7009_A"
0.0149946447697251,"7009_copy2","PGI","C_fragilis_sp1_7009_A"
0.0149946447697251,"7009_copy1","PGI","C_fragilis_sp1_7009_B"
0.985005355230275,"7009_copy2","PGI","C_fragilis_sp1_7009_B"
1,"7248_copy1","APP","C_fragilis_sp2_7248_A"
1,"7248_copy2","APP","C_fragilis_sp2_7248_B"
1,"7248_copy2","GAP","C_fragilis_sp2_7248_A"
1,"7248_copy1","GAP","C_fragilis_sp2_7248_B"
1,"7248_copy1","IBR","C_fragilis_sp2_7248_A"
1,"7248_copy2","IBR","C_fragilis_sp2_7248_B"
1,"7248_copy1","PGI","C_fragilis_sp2_7248_A"
1,"7248_copy2","PGI","C_fragilis_sp2_7248_B"
0.519814352017137,"7943_copy1","APP","C_montana_7943_A"
0.480185647982863,"7943_copy2","APP","C_montana_7943_A"
0.480185647982863,"7943_copy1","APP","C_montana_7943_B"
0.519814352017137,"7943_copy2","APP","C_montana_7943_B"
0.494644769725098,"7943_copy1","GAP","C_montana_7943_A"
0.505355230274902,"7943_copy2","GAP","C_montana_7943_A"
0.505355230274902,"7943_copy1","GAP","C_montana_7943_B"
0.494644769725098,"7943_copy2","GAP","C_montana_7943_B"
0.489468047126026,"7943_copy1","IBR","C_montana_7943_A"
0.510531952873974,"7943_copy2","IBR","C_montana_7943_A"
0.510531952873974,"7943_copy1","IBR","C_montana_7943_B"
0.489468047126026,"7943_copy2","IBR","C_montana_7943_B"
0.495894323455909,"7943_copy1","PGI","C_montana_7943_A"
0.504105676544091,"7943_copy2","PGI","C_montana_7943_A"
0.504105676544091,"7943_copy1","PGI","C_montana_7943_B"
0.495894323455909,"7943_copy2","PGI","C_montana_7943_B"
0.480721171010353,"6055_copy1","APP","C_pellucida_6055_A"
0.519278828989647,"6055_copy2","APP","C_pellucida_6055_A"
0.519278828989647,"6055_copy1","APP","C_pellucida_6055_B"
0.480721171010353,"6055_copy2","APP","C_pellucida_6055_B"
0.484648339878615,"6055_copy1","GAP","C_pellucida_6055_A"
0.515351660121385,"6055_copy2","GAP","C_pellucida_6055_A"
0.515351660121385,"6055_copy1","GAP","C_pellucida_6055_B"
0.484648339878615,"6055_copy2","GAP","C_pellucida_6055_B"
0.490003570153517,"6055_copy1","IBR","C_pellucida_6055_A"
0.509996429846483,"6055_copy2","IBR","C_pellucida_6055_A"
0.509996429846483,"6055_copy1","IBR","C_pellucida_6055_B"
0.490003570153517,"6055_copy2","IBR","C_pellucida_6055_B"
0.504998214923242,"6055_copy1","PGI","C_pellucida_6055_A"
0.495001785076758,"6055_copy2","PGI","C_pellucida_6055_A"
0.495001785076758,"6055_copy1","PGI","C_pellucida_6055_B"
0.504998214923242,"6055_copy2","PGI","C_pellucida_6055_B"
1,"8674_copy1","APP","C_sudetica_8674_A"
1,"8674_copy2","APP","C_sudetica_8674_B"
1,"8674_copy1","GAP","C_sudetica_8674_A"
1,"8674_copy2","GAP","C_sudetica_8674_B"
1,"8674_copy1","IBR","C_sudetica_8674_A"
1,"8674_copy2","IBR","C_sudetica_8674_B"
1,"8674_copy2","PGI","C_sudetica_8674_A"
1,"8674_copy1","PGI","C_sudetica_8674_B"
0.00214209210996073,"6379_copy1","APP","C_tasmanica_6379_A"
0.997857907890039,"6379_copy2","APP","C_tasmanica_6379_A"
0.997857907890039,"6379_copy1","APP","C_tasmanica_6379_B"
0.00214209210996073,"6379_copy2","APP","C_tasmanica_6379_B"
