"C_diaphana_6380_A","C_diaphana_6380_B","joint_prob","locus"
"6380_BLANK","6380_BLANK",0,"APP"
"6380_BLANK2","6380_BLANK",0.498393430917529,"APP"
"6380_BLANK","6380_BLANK2",0.501606569082471,"APP"
"6380_BLANK2","6380_BLANK2",0,"APP"
"6380_copy1","6380_copy1",0,"GAP"
"6380_copy2","6380_copy1",0.507318814709033,"GAP"
"6380_copy1","6380_copy2",0.492681185290967,"GAP"
"6380_copy2","6380_copy2",0,"GAP"
"6380_BLANK","6380_BLANK",0,"IBR"
"6380_BLANK2","6380_BLANK",0.493752231345948,"IBR"
"6380_BLANK","6380_BLANK2",0.506247768654052,"IBR"
"6380_BLANK2","6380_BLANK2",0,"IBR"
"6380_copy1","6380_copy1",0,"PGI"
"6380_copy2","6380_copy1",0.486611924312745,"PGI"
"6380_copy1","6380_copy2",0.513388075687255,"PGI"
"6380_copy2","6380_copy2",0,"PGI"
