"C_montana_7943_A","C_montana_7943_B","joint_prob","locus"
"7943_copy1","7943_copy1",0,"APP"
"7943_copy2","7943_copy1",0.531238843270261,"APP"
"7943_copy1","7943_copy2",0.468761156729739,"APP"
"7943_copy2","7943_copy2",0,"APP"
"7943_copy1","7943_copy1",0,"GAP"
"7943_copy2","7943_copy1",0.502499107461621,"GAP"
"7943_copy1","7943_copy2",0.497500892538379,"GAP"
"7943_copy2","7943_copy2",0,"GAP"
"7943_copy1","7943_copy1",0,"IBR"
"7943_copy2","7943_copy1",0.492502677615137,"IBR"
"7943_copy1","7943_copy2",0.507497322384863,"IBR"
"7943_copy2","7943_copy2",0,"IBR"
"7943_copy1","7943_copy1",0,"PGI"
"7943_copy2","7943_copy1",0.485362370581935,"PGI"
"7943_copy1","7943_copy2",0.514637629418065,"PGI"
"7943_copy2","7943_copy2",0,"PGI"
