"C_pellucida_6055_A","C_pellucida_6055_B","joint_prob","locus"
"6055_copy1","6055_copy1",0,"APP"
"6055_copy2","6055_copy1",0.487147447340236,"APP"
"6055_copy1","6055_copy2",0.512852552659764,"APP"
"6055_copy2","6055_copy2",0,"APP"
"6055_copy1","6055_copy1",0,"GAP"
"6055_copy2","6055_copy1",0.509282399143163,"GAP"
"6055_copy1","6055_copy2",0.490717600856837,"GAP"
"6055_copy2","6055_copy2",0,"GAP"
"6055_copy1","6055_copy1",0,"IBR"
"6055_copy2","6055_copy1",0.495001785076758,"IBR"
"6055_copy1","6055_copy2",0.504998214923242,"IBR"
"6055_copy2","6055_copy2",0,"IBR"
"6055_copy1","6055_copy1",0,"PGI"
"6055_copy2","6055_copy1",0.516244198500535,"PGI"
"6055_copy1","6055_copy2",0.483755801499464,"PGI"
"6055_copy2","6055_copy2",0,"PGI"
