"C_tasmanica_6379_A","C_tasmanica_6379_B","joint_prob","locus"
"6379_copy1","6379_copy2",1,"APP"
"6379_copy1","6379_copy1",0,"GAP"
"6379_copy2","6379_copy1",0.666369153873617,"GAP"
"6379_copy1","6379_copy2",0.333630846126383,"GAP"
"6379_copy2","6379_copy2",0,"GAP"
"6379_BLANK","6379_BLANK",0,"IBR"
"6379_copy1","6379_BLANK",0.99928596929668,"IBR"
"6379_BLANK","6379_copy1",0.000714030703320243,"IBR"
"6379_copy1","6379_copy1",0,"IBR"
"6379_copy1","6379_copy1",0,"PGI"
"6379_copy2","6379_copy1",0.000178507675830061,"PGI"
"6379_copy1","6379_copy2",0.99982149232417,"PGI"
"6379_copy2","6379_copy2",0,"PGI"
