"G_oyamense_sp2_8739_A","G_oyamense_sp2_8739_B","joint_prob","locus"
"8739_copy1","8739_copy1",0,"APP"
"8739_copy2","8739_copy1",0.541056765440914,"APP"
"8739_copy1","8739_copy2",0.458943234559086,"APP"
"8739_copy2","8739_copy2",0,"APP"
"8739_copy1","8739_copy1",0,"GAP"
"8739_copy2","8739_copy1",0.536237058193502,"GAP"
"8739_copy1","8739_copy2",0.463762941806498,"GAP"
"8739_copy2","8739_copy2",0,"GAP"
"8739_copy1","8739_copy1",0,"IBR"
"8739_copy2","8739_copy1",0.521242413423777,"IBR"
"8739_copy1","8739_copy2",0.478757586576223,"IBR"
"8739_copy2","8739_copy2",0,"IBR"
"8739_copy1","8739_copy1",0,"PGI"
"8739_copy2","8739_copy1",0.476436986790432,"PGI"
"8739_copy1","8739_copy2",0.523563013209568,"PGI"
"8739_copy2","8739_copy2",0,"PGI"
