"marginal_prob","phase","locus","tip_name"
1,"6137_copy1","APP","A_taiwaniana_6137_A"
1,"6137_copy2","APP","A_taiwaniana_6137_B"
1,"6137_copy1","GAP","A_taiwaniana_6137_A"
1,"6137_copy2","GAP","A_taiwaniana_6137_B"
1,"6137_copy2","IBR","A_taiwaniana_6137_A"
1,"6137_copy1","IBR","A_taiwaniana_6137_B"
1,"6137_copy2","PGI","A_taiwaniana_6137_A"
1,"6137_copy1","PGI","A_taiwaniana_6137_B"
0.496965369510889,"8704_BLANK","APP","A_tenuisecta_sp2_8704_A"
0.503034630489111,"8704_BLANK2","APP","A_tenuisecta_sp2_8704_A"
0.503034630489111,"8704_BLANK","APP","A_tenuisecta_sp2_8704_B"
0.496965369510889,"8704_BLANK2","APP","A_tenuisecta_sp2_8704_B"
1,"8704_copy2","GAP","A_tenuisecta_sp2_8704_A"
1,"8704_copy1","GAP","A_tenuisecta_sp2_8704_B"
1,"8704_copy1","IBR","A_tenuisecta_sp2_8704_A"
1,"8704_copy2","IBR","A_tenuisecta_sp2_8704_B"
1,"8704_copy1","PGI","A_tenuisecta_sp2_8704_A"
1,"8704_BLANK","PGI","A_tenuisecta_sp2_8704_B"
1,"8745_copy1","APP","A_tenuisecta_sp3_8745_A"
1,"8745_copy2","APP","A_tenuisecta_sp3_8745_B"
1,"8745_copy1","GAP","A_tenuisecta_sp3_8745_A"
1,"8745_copy2","GAP","A_tenuisecta_sp3_8745_B"
1,"8745_copy2","IBR","A_tenuisecta_sp3_8745_A"
1,"8745_copy1","IBR","A_tenuisecta_sp3_8745_B"
1,"8745_copy1","PGI","A_tenuisecta_sp3_8745_A"
1,"8745_copy2","PGI","A_tenuisecta_sp3_8745_B"
0.501606569082471,"6380_BLANK","APP","C_diaphana_6380_A"
0.498393430917529,"6380_BLANK2","APP","C_diaphana_6380_A"
0.498393430917529,"6380_BLANK","APP","C_diaphana_6380_B"
0.501606569082471,"6380_BLANK2","APP","C_diaphana_6380_B"
0.492681185290967,"6380_copy1","GAP","C_diaphana_6380_A"
0.507318814709033,"6380_copy2","GAP","C_diaphana_6380_A"
0.507318814709033,"6380_copy1","GAP","C_diaphana_6380_B"
0.492681185290967,"6380_copy2","GAP","C_diaphana_6380_B"
0.506247768654052,"6380_BLANK","IBR","C_diaphana_6380_A"
0.493752231345948,"6380_BLANK2","IBR","C_diaphana_6380_A"
0.493752231345948,"6380_BLANK","IBR","C_diaphana_6380_B"
0.506247768654052,"6380_BLANK2","IBR","C_diaphana_6380_B"
0.513388075687255,"6380_copy1","PGI","C_diaphana_6380_A"
0.486611924312745,"6380_copy2","PGI","C_diaphana_6380_A"
0.486611924312745,"6380_copy1","PGI","C_diaphana_6380_B"
0.513388075687255,"6380_copy2","PGI","C_diaphana_6380_B"
1,"7009_copy1","APP","C_fragilis_sp1_7009_A"
1,"7009_copy2","APP","C_fragilis_sp1_7009_B"
1,"7009_copy1","GAP","C_fragilis_sp1_7009_A"
1,"7009_BLANK","GAP","C_fragilis_sp1_7009_B"
0.103534451981435,"7009_copy1","IBR","C_fragilis_sp1_7009_A"
0.896465548018565,"7009_copy2","IBR","C_fragilis_sp1_7009_A"
0.896465548018565,"7009_copy1","IBR","C_fragilis_sp1_7009_B"
0.103534451981435,"7009_copy2","IBR","C_fragilis_sp1_7009_B"
1,"7009_copy2","PGI","C_fragilis_sp1_7009_A"
1,"7009_copy1","PGI","C_fragilis_sp1_7009_B"
1,"7248_copy2","APP","C_fragilis_sp2_7248_A"
1,"7248_copy1","APP","C_fragilis_sp2_7248_B"
1,"7248_copy1","GAP","C_fragilis_sp2_7248_A"
1,"7248_copy2","GAP","C_fragilis_sp2_7248_B"
1,"7248_copy1","IBR","C_fragilis_sp2_7248_A"
1,"7248_copy2","IBR","C_fragilis_sp2_7248_B"
1,"7248_copy1","PGI","C_fragilis_sp2_7248_A"
1,"7248_copy2","PGI","C_fragilis_sp2_7248_B"
0.468761156729739,"7943_copy1","APP","C_montana_7943_A"
0.531238843270261,"7943_copy2","APP","C_montana_7943_A"
0.531238843270261,"7943_copy1","APP","C_montana_7943_B"
0.468761156729739,"7943_copy2","APP","C_montana_7943_B"
0.497500892538379,"7943_copy1","GAP","C_montana_7943_A"
0.502499107461621,"7943_copy2","GAP","C_montana_7943_A"
0.502499107461621,"7943_copy1","GAP","C_montana_7943_B"
0.497500892538379,"7943_copy2","GAP","C_montana_7943_B"
0.507497322384863,"7943_copy1","IBR","C_montana_7943_A"
0.492502677615137,"7943_copy2","IBR","C_montana_7943_A"
0.492502677615137,"7943_copy1","IBR","C_montana_7943_B"
0.507497322384863,"7943_copy2","IBR","C_montana_7943_B"
0.514637629418065,"7943_copy1","PGI","C_montana_7943_A"
0.485362370581935,"7943_copy2","PGI","C_montana_7943_A"
0.485362370581935,"7943_copy1","PGI","C_montana_7943_B"
0.514637629418065,"7943_copy2","PGI","C_montana_7943_B"
0.512852552659764,"6055_copy1","APP","C_pellucida_6055_A"
0.487147447340236,"6055_copy2","APP","C_pellucida_6055_A"
0.487147447340236,"6055_copy1","APP","C_pellucida_6055_B"
0.512852552659764,"6055_copy2","APP","C_pellucida_6055_B"
0.490717600856837,"6055_copy1","GAP","C_pellucida_6055_A"
0.509282399143163,"6055_copy2","GAP","C_pellucida_6055_A"
0.509282399143163,"6055_copy1","GAP","C_pellucida_6055_B"
0.490717600856837,"6055_copy2","GAP","C_pellucida_6055_B"
0.504998214923242,"6055_copy1","IBR","C_pellucida_6055_A"
0.495001785076758,"6055_copy2","IBR","C_pellucida_6055_A"
0.495001785076758,"6055_copy1","IBR","C_pellucida_6055_B"
0.504998214923242,"6055_copy2","IBR","C_pellucida_6055_B"
0.483755801499464,"6055_copy1","PGI","C_pellucida_6055_A"
0.516244198500535,"6055_copy2","PGI","C_pellucida_6055_A"
0.516244198500535,"6055_copy1","PGI","C_pellucida_6055_B"
0.483755801499464,"6055_copy2","PGI","C_pellucida_6055_B"
1,"8674_copy2","APP","C_sudetica_8674_A"
1,"8674_copy1","APP","C_sudetica_8674_B"
1,"8674_copy2","GAP","C_sudetica_8674_A"
1,"8674_copy1","GAP","C_sudetica_8674_B"
1,"8674_copy2","IBR","C_sudetica_8674_A"
1,"8674_copy1","IBR","C_sudetica_8674_B"
1,"8674_copy1","PGI","C_sudetica_8674_A"
1,"8674_copy2","PGI","C_sudetica_8674_B"
1,"6379_copy1","APP","C_tasmanica_6379_A"
1,"6379_copy2","APP","C_tasmanica_6379_B"
0.333630846126383,"6379_copy1","GAP","C_tasmanica_6379_A"
0.666369153873617,"6379_copy2","GAP","C_tasmanica_6379_A"
0.666369153873617,"6379_copy1","GAP","C_tasmanica_6379_B"
0.333630846126383,"6379_copy2","GAP","C_tasmanica_6379_B"
0.000714030703320243,"6379_BLANK","IBR","C_tasmanica_6379_A"
0.99928596929668,"6379_copy1","IBR","C_tasmanica_6379_A"
0.99928596929668,"6379_BLANK","IBR","C_tasmanica_6379_B"
0.000714030703320243,"6379_copy1","IBR","C_tasmanica_6379_B"
0.99982149232417,"6379_copy1","PGI","C_tasmanica_6379_A"
0.000178507675830061,"6379_copy2","PGI","C_tasmanica_6379_A"
0.000178507675830061,"6379_copy1","PGI","C_tasmanica_6379_B"
0.99982149232417,"6379_copy2","PGI","C_tasmanica_6379_B"
1,"6387_copy2","APP","C_tenuis_6387_A"
1,"6387_copy1","APP","C_tenuis_6387_B"
1,"6387_copy2","GAP","C_tenuis_6387_A"
1,"6387_copy1","GAP","C_tenuis_6387_B"
1,"6387_copy2","IBR","C_tenuis_6387_A"
1,"6387_copy1","IBR","C_tenuis_6387_B"
1,"6387_copy1","PGI","C_tenuis_6387_A"
1,"6387_copy2","PGI","C_tenuis_6387_B"
1,"6848_copy1","APP","C_utahensis_6848_A"
1,"6848_copy2","APP","C_utahensis_6848_B"
1,"6848_copy2","GAP","C_utahensis_6848_A"
1,"6848_copy1","GAP","C_utahensis_6848_B"
0.508389860764013,"6848_BLANK","IBR","C_utahensis_6848_A"
0.491610139235987,"6848_BLANK2","IBR","C_utahensis_6848_A"
0.491610139235987,"6848_BLANK","IBR","C_utahensis_6848_B"
0.508389860764013,"6848_BLANK2","IBR","C_utahensis_6848_B"
1,"6848_BLANK","PGI","C_utahensis_6848_A"
1,"6848_copy1","PGI","C_utahensis_6848_B"
1,"6979_copy1","APP","G_continentale_6979_A"
1,"6979_copy2","APP","G_continentale_6979_B"
1,"6979_copy2","GAP","G_continentale_6979_A"
1,"6979_copy1","GAP","G_continentale_6979_B"
1,"6979_copy1","IBR","G_continentale_6979_A"
1,"6979_copy2","IBR","G_continentale_6979_B"
1,"6979_copy2","PGI","G_continentale_6979_A"
1,"6979_copy1","PGI","G_continentale_6979_B"
0.931453052481257,"7751_BLANK","APP","G_disjunctum_7751_A"
0.0685469475187433,"7751_copy1","APP","G_disjunctum_7751_A"
0.0685469475187433,"7751_BLANK","APP","G_disjunctum_7751_B"
0.931453052481257,"7751_copy1","APP","G_disjunctum_7751_B"
1,"7751_copy2","GAP","G_disjunctum_7751_A"
1,"7751_copy1","GAP","G_disjunctum_7751_B"
1,"7751_copy2","IBR","G_disjunctum_7751_A"
1,"7751_copy1","IBR","G_disjunctum_7751_B"
1,"7751_copy1","PGI","G_disjunctum_7751_A"
1,"7751_BLANK","PGI","G_disjunctum_7751_B"
0.501785076758301,"7981_BLANK","APP","G_dryopteris_7981_A"
0.492681185290967,"7981_BLANK2","APP","G_dryopteris_7981_A"
0.00553373795073188,"7981_copy2","APP","G_dryopteris_7981_A"
0.00214209210996073,"7981_BLANK","APP","G_dryopteris_7981_B"
0.00339164584077115,"7981_BLANK2","APP","G_dryopteris_7981_B"
0.994466262049268,"7981_copy2","APP","G_dryopteris_7981_B"
0.0419493038200643,"7981_BLANK","APP","G_dryopteris_7981_C"
0.038379150303463,"7981_BLANK2","APP","G_dryopteris_7981_C"
0.919671545876473,"7981_copy1","APP","G_dryopteris_7981_C"
0.454123527311674,"7981_BLANK","APP","G_dryopteris_7981_D"
0.465548018564798,"7981_BLANK2","APP","G_dryopteris_7981_D"
0.0803284541235273,"7981_copy1","APP","G_dryopteris_7981_D"
0.204212781149589,"7981_BLANK","GAP","G_dryopteris_7981_A"
0.795787218850411,"7981_copy1","GAP","G_dryopteris_7981_A"
0.795787218850411,"7981_BLANK","GAP","G_dryopteris_7981_B"
0.204212781149589,"7981_copy1","GAP","G_dryopteris_7981_B"
1,"7981_copy2","GAP","G_dryopteris_7981_C"
1,"7981_copy3","GAP","G_dryopteris_7981_D"
0.502499107461621,"7981_BLANK","IBR","G_dryopteris_7981_A"
0.497500892538379,"7981_BLANK2","IBR","G_dryopteris_7981_A"
1,"7981_copy1","IBR","G_dryopteris_7981_B"
1,"7981_copy2","IBR","G_dryopteris_7981_C"
0.497500892538379,"7981_BLANK","IBR","G_dryopteris_7981_D"
0.502499107461621,"7981_BLANK2","IBR","G_dryopteris_7981_D"
0.79400214209211,"7981_BLANK","PGI","G_dryopteris_7981_A"
0.20599785790789,"7981_copy3","PGI","G_dryopteris_7981_A"
1,"7981_copy2","PGI","G_dryopteris_7981_B"
0.0103534451981435,"7981_BLANK","PGI","G_dryopteris_7981_C"
0.989646554801856,"7981_copy1","PGI","G_dryopteris_7981_C"
0.195644412709747,"7981_BLANK","PGI","G_dryopteris_7981_D"
0.0103534451981435,"7981_copy1","PGI","G_dryopteris_7981_D"
0.79400214209211,"7981_copy3","PGI","G_dryopteris_7981_D"
0.458943234559086,"8739_copy1","APP","G_oyamense_sp2_8739_A"
0.541056765440914,"8739_copy2","APP","G_oyamense_sp2_8739_A"
0.541056765440914,"8739_copy1","APP","G_oyamense_sp2_8739_B"
0.458943234559086,"8739_copy2","APP","G_oyamense_sp2_8739_B"
0.463762941806498,"8739_copy1","GAP","G_oyamense_sp2_8739_A"
0.536237058193502,"8739_copy2","GAP","G_oyamense_sp2_8739_A"
0.536237058193502,"8739_copy1","GAP","G_oyamense_sp2_8739_B"
0.463762941806498,"8739_copy2","GAP","G_oyamense_sp2_8739_B"
0.478757586576223,"8739_copy1","IBR","G_oyamense_sp2_8739_A"
0.521242413423777,"8739_copy2","IBR","G_oyamense_sp2_8739_A"
0.521242413423777,"8739_copy1","IBR","G_oyamense_sp2_8739_B"
0.478757586576223,"8739_copy2","IBR","G_oyamense_sp2_8739_B"
0.523563013209568,"8739_copy1","PGI","G_oyamense_sp2_8739_A"
0.476436986790432,"8739_copy2","PGI","G_oyamense_sp2_8739_A"
0.476436986790432,"8739_copy1","PGI","G_oyamense_sp2_8739_B"
0.523563013209568,"8739_copy2","PGI","G_oyamense_sp2_8739_B"
1,"4862_copy1","APP","G_remotepinnatum_4862_A"
1,"4862_copy2","APP","G_remotepinnatum_4862_B"
1,"4862_copy1","GAP","G_remotepinnatum_4862_A"
1,"4862_copy2","GAP","G_remotepinnatum_4862_B"
1,"4862_copy1","IBR","G_remotepinnatum_4862_A"
1,"4862_copy2","IBR","G_remotepinnatum_4862_B"
1,"4862_copy2","PGI","G_remotepinnatum_4862_A"
1,"4862_copy1","PGI","G_remotepinnatum_4862_B"
1,"7945_copy1","APP","G_robertianum_7945_A"
1,"7945_copy2","APP","G_robertianum_7945_B"
1,"7945_copy2","GAP","G_robertianum_7945_A"
1,"7945_copy1","GAP","G_robertianum_7945_B"
1,"7945_copy2","IBR","G_robertianum_7945_A"
1,"7945_copy1","IBR","G_robertianum_7945_B"
1,"7945_copy1","PGI","G_robertianum_7945_A"
1,"7945_copy2","PGI","G_robertianum_7945_B"
1,"7974_copy1","APP","xCystocarpium_7974_A"
1,"7974_copy2","APP","xCystocarpium_7974_B"
1,"7974_copy3","APP","xCystocarpium_7974_C"
1,"7974_copy4","APP","xCystocarpium_7974_D"
1,"7974_copy2","GAP","xCystocarpium_7974_A"
1,"7974_copy1","GAP","xCystocarpium_7974_B"
1,"7974_copy4","GAP","xCystocarpium_7974_C"
1,"7974_copy3","GAP","xCystocarpium_7974_D"
1,"7974_copy2","IBR","xCystocarpium_7974_A"
1,"7974_copy1","IBR","xCystocarpium_7974_B"
1,"7974_copy3","IBR","xCystocarpium_7974_C"
1,"7974_copy4","IBR","xCystocarpium_7974_D"
1,"7974_copy2","PGI","xCystocarpium_7974_A"
1,"7974_copy1","PGI","xCystocarpium_7974_B"
1,"7974_copy4","PGI","xCystocarpium_7974_C"
1,"7974_copy3","PGI","xCystocarpium_7974_D"
