"","APP","GAP","IBR","PGI"
"A_tai_6137_A_map","A_tai_6137_B","A_tai_6137_B","A_tai_6137_A","A_tai_6137_A"
"A_tai_6137_A_pp","1","1","1","1"
"A_tai_6137_B_map","A_tai_6137_A","A_tai_6137_A","A_tai_6137_B","A_tai_6137_B"
"A_tai_6137_B_pp","1","1","1","1"
"A_tenB_8704_A_map","A_tenB_8704_A","A_tenB_8704_B","A_tenB_8704_A","A_tenB_8704_A"
"A_tenB_8704_A_pp","0.5137717","1.0000000","1.0000000","1.0000000"
"A_tenB_8704_B_map","A_tenB_8704_B","A_tenB_8704_A","A_tenB_8704_B","A_tenB_8704_B"
"A_tenB_8704_B_pp","0.5137717","1.0000000","1.0000000","1.0000000"
"A_tenC_8745_A_map","A_tenC_8745_B","A_tenC_8745_B","A_tenC_8745_A","A_tenC_8745_B"
"A_tenC_8745_A_pp","1","1","1","1"
"A_tenC_8745_B_map","A_tenC_8745_A","A_tenC_8745_A","A_tenC_8745_B","A_tenC_8745_A"
"A_tenC_8745_B_pp","1","1","1","1"
"C_dia_6380_A_map","C_dia_6380_A","C_dia_6380_A","C_dia_6380_A","C_dia_6380_A"
"C_dia_6380_A_pp","1","1","1","1"
"C_dia_6380_B_map","C_dia_6380_B","C_dia_6380_B","C_dia_6380_B","C_dia_6380_B"
"C_dia_6380_B_pp","1","1","1","1"
"C_fraA_7009_A_map","C_fraA_7009_A","C_fraA_7009_B","C_fraA_7009_A","C_fraA_7009_B"
"C_fraA_7009_A_pp","1","1","1","1"
"C_fraA_7009_B_map","C_fraA_7009_B","C_fraA_7009_A","C_fraA_7009_B","C_fraA_7009_A"
"C_fraA_7009_B_pp","1","1","1","1"
"C_fraB_7248_A_map","C_fraB_7248_A","C_fraB_7248_A","C_fraB_7248_B","C_fraB_7248_A"
"C_fraB_7248_A_pp","1","1","1","1"
"C_fraB_7248_B_map","C_fraB_7248_B","C_fraB_7248_B","C_fraB_7248_A","C_fraB_7248_B"
"C_fraB_7248_B_pp","1","1","1","1"
"C_mon_7943_A_map","C_mon_7943_A","C_mon_7943_A","C_mon_7943_B","C_mon_7943_A"
"C_mon_7943_A_pp","0.5079964","0.5188805","0.5246557","0.5037761"
"C_mon_7943_B_map","C_mon_7943_B","C_mon_7943_B","C_mon_7943_A","C_mon_7943_B"
"C_mon_7943_B_pp","0.5079964","0.5188805","0.5246557","0.5037761"
"C_pelA_6055_A_map","C_pelA_6055_B","C_pelA_6055_B","C_pelA_6055_B","C_pelA_6055_A"
"C_pelA_6055_A_pp","0.5317637","0.5004442","0.5175478","0.5115504"
"C_pelA_6055_B_map","C_pelA_6055_A","C_pelA_6055_A","C_pelA_6055_A","C_pelA_6055_B"
"C_pelA_6055_B_pp","0.5317637","0.5004442","0.5175478","0.5115504"
"C_pro_6359_A_map","C_pro_6359_A","C_pro_6359_A","C_pro_6359_A","C_pro_6359_A"
"C_pro_6359_A_pp","0.5104398","0.5459796","0.5119947","0.5406486"
"C_pro_6359a_A_map","C_pro_6359a_A","C_pro_6359a_A","C_pro_6359a_A","C_pro_6359a_A"
