	APP_alloPPnet_version_reduced.nex	GAP_alloPPnet_version_reduced.nex	IBR_alloPPnet_version_reduced.nex	PGI_alloPPnet_version_reduced.nex	total_length	total_missing	total_missing_percent	
A_jap_7978_A                                                                                        	60	104	31	194	4068	389	9.6%	
A_tai_6137_A                                                                                        	60	94	34	194	4068	382	9.4%	
A_tai_6137_B                                                                                        	59	94	31	194	4068	378	9.3%	
A_tenA_4831_A                                                                                       	107	107	43	191	4068	448	11.0%	
A_tenB_8704_A                                                                                       	1006	104	32	194	4068	1336	32.8%	
A_tenB_8704_B                                                                                       	1006	91	43	1132	4068	2272	55.9%	
A_tenC_8745_A                                                                                       	64	107	33	191	4068	395	9.7%	
A_tenC_8745_B                                                                                       	59	94	32	194	4068	379	9.3%	
C_bul_7650_A                                                                                        	57	1068	35	134	4068	1294	31.8%	
C_bul_7650a_A                                                                                       	1006	1068	31	129	4068	2234	54.9%	
C_dia_6380_A                                                                                        	1006	97	862	187	4068	2152	52.9%	
C_dia_6380_B                                                                                        	1006	96	862	197	4068	2161	53.1%	
C_fraA_7009_A                                                                                       	85	128	34	197	4068	444	10.9%	
C_fraA_7009_B                                                                                       	59	1068	33	164	4068	1324	32.5%	
C_fraB_7248_A                                                                                       	85	108	33	230	4068	456	11.2%	
C_fraB_7248_B                                                                                       	61	128	32	165	4068	386	9.5%	
C_mem_6732_A                                                                                        	60	98	37	172	4068	367	9.0%	
C_mon_7943_A                                                                                        	60	70	46	185	4068	361	8.9%	
C_mon_7943_B                                                                                        	106	70	46	184	4068	406	10.0%	
C_mouA_4861_A                                                                                       	59	72	34	105	4068	270	6.6%	
C_pelA_6055_A                                                                                       	27	74	32	105	4068	238	5.9%	
C_pelA_6055_B                                                                                       	27	74	33	106	4068	240	5.9%	
C_pro_6359_A                                                                                        	68	111	27	166	4068	372	9.1%	
C_pro_6359a_A                                                                                       	69	111	862	1132	4068	2174	53.4%	
C_sudB_8674_A                                                                                       	58	74	33	105	4068	270	6.6%	
C_sudB_8674_B                                                                                       	60	82	33	104	4068	279	6.9%	
C_tas_6379_A                                                                                        	62	107	35	189	4068	393	9.7%	
C_tas_6379_B                                                                                        	159	106	862	296	4068	1423	35.0%	
C_tenu_6387_A                                                                                       	59	128	33	166	4068	386	9.5%	
C_tenu_6387_B                                                                                       	68	111	25	159	4068	363	8.9%	
C_uta_6848_A                                                                                        	57	98	862	172	4068	1189	29.2%	
C_uta_6848_B                                                                                        	69	82	862	1132	4068	2145	52.7%	
G_app_7800_A                                                                                        	57	53	48	167	4068	325	8.0%	
G_con_6979_A                                                                                        	55	53	44	257	4068	409	10.1%	
G_con_6979_B                                                                                        	57	53	45	221	4068	376	9.2%	
G_dis_7751_A                                                                                        	42	53	25	168	4068	288	7.1%	
G_dis_7751a_A                                                                                       	1006	53	26	1132	4068	2217	54.5%	
G_dry_7981_A                                                                                        	42	53	48	169	4068	312	7.7%	
G_dry_7981_B                                                                                        	57	53	25	167	4068	302	7.4%	
G_dry_7981a_A                                                                                       	1006	53	862	167	4068	2088	51.3%	
G_oyaA_6399_A                                                                                       	73	63	44	166	4068	346	8.5%	
G_oyaA_6399a_A                                                                                      	1006	1068	44	166	4068	2284	56.1%	
G_oyaC_8739_A                                                                                       	52	52	43	174	4068	321	7.9%	
G_oyaC_8739_B                                                                                       	52	52	43	180	4068	327	8.0%	
G_rem_4862_A                                                                                        	46	52	46	192	4068	336	8.3%	
G_rem_4862_B                                                                                        	55	53	44	168	4068	320	7.9%	
G_rob_7945_A                                                                                        	208	53	44	186	4068	491	12.1%	
G_rob_7945_B                                                                                        	55	54	44	192	4068	345	8.5%	
xCystC_7974_A                                                                                       	86	108	33	230	4068	457	11.2%	
xCystC_7974_B                                                                                       	61	128	32	165	4068	386	9.5%	
xCystG_7974_A                                                                                       	57	53	48	169	4068	327	8.0%	
xCystG_7974_B                                                                                       	41	53	26	167	4068	287	7.1%	
alignment-length	1006	1068	862	1132	4068
