	APP_alloPPnet_version_reduced.nex	GAP_alloPPnet_version_reduced.nex	IBR_alloPPnet_version_reduced.nex	PGI_alloPPnet_version_reduced.nex	
A_jap_7978_A                                                                                        	x	x	x	x	
A_tai_6137_A                                                                                        	x	x	x	x	
A_tai_6137_B                                                                                        	x	x	x	x	
A_tenA_4831_A                                                                                       	x	x	x	x	
A_tenB_8704_A                                                                                       		x	x	x	
A_tenB_8704_B                                                                                       		x	x		
A_tenC_8745_A                                                                                       	x	x	x	x	
A_tenC_8745_B                                                                                       	x	x	x	x	
C_bul_7650_A                                                                                        	x		x	x	
C_bul_7650a_A                                                                                       			x	x	
C_dia_6380_A                                                                                        		x		x	
C_dia_6380_B                                                                                        		x		x	
C_fraA_7009_A                                                                                       	x	x	x	x	
C_fraA_7009_B                                                                                       	x		x	x	
C_fraB_7248_A                                                                                       	x	x	x	x	
C_fraB_7248_B                                                                                       	x	x	x	x	
C_mem_6732_A                                                                                        	x	x	x	x	
C_mon_7943_A                                                                                        	x	x	x	x	
C_mon_7943_B                                                                                        	x	x	x	x	
C_mouA_4861_A                                                                                       	x	x	x	x	
C_pelA_6055_A                                                                                       	x	x	x	x	
C_pelA_6055_B                                                                                       	x	x	x	x	
C_pro_6359_A                                                                                        	x	x	x	x	
C_pro_6359a_A                                                                                       	x	x			
C_sudB_8674_A                                                                                       	x	x	x	x	
C_sudB_8674_B                                                                                       	x	x	x	x	
C_tas_6379_A                                                                                        	x	x	x	x	
C_tas_6379_B                                                                                        	x	x		x	
C_tenu_6387_A                                                                                       	x	x	x	x	
C_tenu_6387_B                                                                                       	x	x	x	x	
C_uta_6848_A                                                                                        	x	x		x	
C_uta_6848_B                                                                                        	x	x			
G_app_7800_A                                                                                        	x	x	x	x	
G_con_6979_A                                                                                        	x	x	x	x	
G_con_6979_B                                                                                        	x	x	x	x	
G_dis_7751_A                                                                                        	x	x	x	x	
G_dis_7751a_A                                                                                       		x	x		
G_dry_7981_A                                                                                        	x	x	x	x	
G_dry_7981_B                                                                                        	x	x	x	x	
G_dry_7981a_A                                                                                       		x		x	
G_oyaA_6399_A                                                                                       	x	x	x	x	
G_oyaA_6399a_A                                                                                      			x	x	
G_oyaC_8739_A                                                                                       	x	x	x	x	
G_oyaC_8739_B                                                                                       	x	x	x	x	
G_rem_4862_A                                                                                        	x	x	x	x	
G_rem_4862_B                                                                                        	x	x	x	x	
G_rob_7945_A                                                                                        	x	x	x	x	
G_rob_7945_B                                                                                        	x	x	x	x	
xCystC_7974_A                                                                                       	x	x	x	x	
xCystC_7974_B                                                                                       	x	x	x	x	
xCystG_7974_A                                                                                       	x	x	x	x	
xCystG_7974_B                                                                                       	x	x	x	x	
