	APP_alloPPnet_version_reduced.nex	total_length	total_missing	total_missing_percent	
A_jap_7978_A                                                                                        	60	1006	60	6.0%	
A_tai_6137_A                                                                                        	60	1006	60	6.0%	
A_tai_6137_B                                                                                        	59	1006	59	5.9%	
A_tenA_4831_A                                                                                       	107	1006	107	10.6%	
A_tenC_8745_A                                                                                       	64	1006	64	6.4%	
A_tenC_8745_B                                                                                       	59	1006	59	5.9%	
C_bul_7650_A                                                                                        	57	1006	57	5.7%	
C_fraA_7009_A                                                                                       	85	1006	85	8.4%	
C_fraA_7009_B                                                                                       	59	1006	59	5.9%	
C_fraB_7248_A                                                                                       	85	1006	85	8.4%	
C_fraB_7248_B                                                                                       	61	1006	61	6.1%	
C_mem_6732_A                                                                                        	60	1006	60	6.0%	
C_mon_7943_A                                                                                        	60	1006	60	6.0%	
C_mon_7943_B                                                                                        	106	1006	106	10.5%	
C_mouA_4861_A                                                                                       	59	1006	59	5.9%	
C_pelA_6055_A                                                                                       	27	1006	27	2.7%	
C_pelA_6055_B                                                                                       	27	1006	27	2.7%	
C_pro_6359_A                                                                                        	68	1006	68	6.8%	
C_pro_6359a_A                                                                                       	69	1006	69	6.9%	
C_sudB_8674_A                                                                                       	58	1006	58	5.8%	
C_sudB_8674_B                                                                                       	60	1006	60	6.0%	
C_tas_6379_A                                                                                        	62	1006	62	6.2%	
C_tas_6379_B                                                                                        	159	1006	159	15.8%	
C_tenu_6387_A                                                                                       	59	1006	59	5.9%	
C_tenu_6387_B                                                                                       	68	1006	68	6.8%	
C_uta_6848_A                                                                                        	57	1006	57	5.7%	
C_uta_6848_B                                                                                        	69	1006	69	6.9%	
G_app_7800_A                                                                                        	57	1006	57	5.7%	
G_con_6979_A                                                                                        	55	1006	55	5.5%	
G_con_6979_B                                                                                        	57	1006	57	5.7%	
G_dis_7751_A                                                                                        	42	1006	42	4.2%	
G_dry_7981_A                                                                                        	42	1006	42	4.2%	
G_dry_7981_B                                                                                        	57	1006	57	5.7%	
G_oyaA_6399_A                                                                                       	73	1006	73	7.3%	
G_oyaC_8739_A                                                                                       	52	1006	52	5.2%	
G_oyaC_8739_B                                                                                       	52	1006	52	5.2%	
G_rem_4862_A                                                                                        	46	1006	46	4.6%	
G_rem_4862_B                                                                                        	55	1006	55	5.5%	
G_rob_7945_A                                                                                        	208	1006	208	20.7%	
G_rob_7945_B                                                                                        	55	1006	55	5.5%	
xCystC_7974_A                                                                                       	86	1006	86	8.5%	
xCystC_7974_B                                                                                       	61	1006	61	6.1%	
xCystG_7974_A                                                                                       	57	1006	57	5.7%	
xCystG_7974_B                                                                                       	41	1006	41	4.1%	
alignment-length	1006	1006
