	IBR_alloPPnet_version_reduced.nex	total_length	total_missing	total_missing_percent	
A_jap_7978_A                                                                                        	31	862	31	3.6%	
A_tai_6137_A                                                                                        	34	862	34	3.9%	
A_tai_6137_B                                                                                        	31	862	31	3.6%	
A_tenA_4831_A                                                                                       	43	862	43	5.0%	
A_tenB_8704_A                                                                                       	32	862	32	3.7%	
A_tenB_8704_B                                                                                       	43	862	43	5.0%	
A_tenC_8745_A                                                                                       	33	862	33	3.8%	
A_tenC_8745_B                                                                                       	32	862	32	3.7%	
C_bul_7650_A                                                                                        	35	862	35	4.1%	
C_bul_7650a_A                                                                                       	31	862	31	3.6%	
C_fraA_7009_A                                                                                       	34	862	34	3.9%	
C_fraA_7009_B                                                                                       	33	862	33	3.8%	
C_fraB_7248_A                                                                                       	33	862	33	3.8%	
C_fraB_7248_B                                                                                       	32	862	32	3.7%	
C_mem_6732_A                                                                                        	37	862	37	4.3%	
C_mon_7943_A                                                                                        	46	862	46	5.3%	
C_mon_7943_B                                                                                        	46	862	46	5.3%	
C_mouA_4861_A                                                                                       	34	862	34	3.9%	
C_pelA_6055_A                                                                                       	32	862	32	3.7%	
C_pelA_6055_B                                                                                       	33	862	33	3.8%	
C_pro_6359_A                                                                                        	27	862	27	3.1%	
C_sudB_8674_A                                                                                       	33	862	33	3.8%	
C_sudB_8674_B                                                                                       	33	862	33	3.8%	
C_tas_6379_A                                                                                        	35	862	35	4.1%	
C_tenu_6387_A                                                                                       	33	862	33	3.8%	
C_tenu_6387_B                                                                                       	25	862	25	2.9%	
G_app_7800_A                                                                                        	48	862	48	5.6%	
G_con_6979_A                                                                                        	44	862	44	5.1%	
G_con_6979_B                                                                                        	45	862	45	5.2%	
G_dis_7751_A                                                                                        	25	862	25	2.9%	
G_dis_7751a_A                                                                                       	26	862	26	3.0%	
G_dry_7981_A                                                                                        	48	862	48	5.6%	
G_dry_7981_B                                                                                        	25	862	25	2.9%	
G_oyaA_6399_A                                                                                       	44	862	44	5.1%	
G_oyaA_6399a_A                                                                                      	44	862	44	5.1%	
G_oyaC_8739_A                                                                                       	43	862	43	5.0%	
G_oyaC_8739_B                                                                                       	43	862	43	5.0%	
G_rem_4862_A                                                                                        	46	862	46	5.3%	
G_rem_4862_B                                                                                        	44	862	44	5.1%	
G_rob_7945_A                                                                                        	44	862	44	5.1%	
G_rob_7945_B                                                                                        	44	862	44	5.1%	
xCystC_7974_A                                                                                       	33	862	33	3.8%	
xCystC_7974_B                                                                                       	32	862	32	3.7%	
xCystG_7974_A                                                                                       	48	862	48	5.6%	
xCystG_7974_B                                                                                       	26	862	26	3.0%	
alignment-length	862	862
