Sample,Subgenome,APP,GAP,IBR,PGI
A_taiwaniana_6137,A_taiwaniana_6137_A,6137_copy1,6137_copy1,6137_copy1,6137_copy1
A_taiwaniana_6137,A_taiwaniana_6137_B,6137_copy2,6137_copy2,6137_copy2,6137_copy2
A_tenuisecta_sp3_8745,A_tenuisecta_sp3_8745_A,8745_copy1,8745_copy1,8745_copy1,8745_copy1
A_tenuisecta_sp3_8745,A_tenuisecta_sp3_8745_B,8745_copy2,8745_copy2,8745_copy2,8745_copy2
C_fragilis_sp2_7248,C_fragilis_sp2_7248_A,7248_copy1,7248_copy1,7248_copy1,7248_copy1
C_fragilis_sp2_7248,C_fragilis_sp2_7248_B,7248_copy2,7248_copy2,7248_copy2,7248_copy2
C_montana_7943,C_montana_7943_A,7943_copy1,7943_copy1,7943_copy1,7943_copy1
C_montana_7943,C_montana_7943_B,7943_copy2,7943_copy2,7943_copy2,7943_copy2
C_pellucida_6055,C_pellucida_6055_A,6055_copy1,6055_copy1,6055_copy1,6055_copy1
C_pellucida_6055,C_pellucida_6055_B,6055_copy2,6055_copy2,6055_copy2,6055_copy2
C_sudetica_8674,C_sudetica_8674_A,8674_copy1,8674_copy1,8674_copy1,8674_copy1
C_sudetica_8674,C_sudetica_8674_B,8674_copy2,8674_copy2,8674_copy2,8674_copy2
C_tasmanica_6379,C_tasmanica_6379_C,6379_BLANK2,6379_BLANK2,6379_BLANK2,6379_BLANK2
C_tenuis_6387,C_tenuis_6387_A,6387_copy1,6387_copy1,6387_copy1,6387_copy1
C_tenuis_6387,C_tenuis_6387_B,6387_copy2,6387_copy2,6387_copy2,6387_copy2
Gontinentale_6979,G_continentale_6979_A,6979_copy1,6979_copy1,6979_copy1,6979_copy1
Gontinentale_6979,G_continentale_6979_B,6979_copy2,6979_copy2,6979_copy2,6979_copy2
G_oyamense_sp2_8739,G_oyamense_sp2_8739_A,8739_copy1,8739_copy1,8739_copy1,8739_copy1
G_oyamense_sp2_8739,G_oyamense_sp2_8739_B,8739_copy2,8739_copy2,8739_copy2,8739_copy2
G_remotepinnatum_4862,G_remotepinnatum_4862_A,4862_copy1,4862_copy1,4862_copy1,4862_copy1
G_remotepinnatum_4862,G_remotepinnatum_4862_B,4862_copy2,4862_copy2,4862_copy2,4862_copy2
G_robertianum_7945,G_robertianum_7945_A,7945_copy1,7945_copy1,7945_copy1,7945_copy1
G_robertianum_7945,G_robertianum_7945_B,7945_copy2,7945_copy2,7945_copy2,7945_copy2
xCystocarpium_7974,xCystocarpium_7974_A,7974_copy1,7974_copy1,7974_copy1,7974_copy1
xCystocarpium_7974,xCystocarpium_7974_B,7974_copy2,7974_copy2,7974_copy2,7974_copy2
xCystocarpium_7974,xCystocarpium_7974_C,7974_copy3,7974_copy3,7974_copy3,7974_copy3
xCystocarpium_7974,xCystocarpium_7974_D,7974_copy4,7974_copy4,7974_copy4,7974_copy4
A_tenuisecta_sp2_8704,A_tenuisecta_sp2_8704_A,8704_BLANK,8704_copy1,8704_copy1,8704_copy1
A_tenuisecta_sp2_8704,A_tenuisecta_sp2_8704_B,8704_BLANK2,8704_copy2,8704_copy2,8704_BLANK
Ciaphana_6380,C_diaphana_6380_A,6380_BLANK,6380_copy1,6380_BLANK,6380_copy1
Ciaphana_6380,C_diaphana_6380_B,6380_BLANK2,6380_copy2,6380_BLANK2,6380_copy2
C_fragilis_sp1_7009,C_fragilis_sp1_7009_A,7009_copy1,7009_copy1,7009_copy1,7009_copy1
C_fragilis_sp1_7009,C_fragilis_sp1_7009_B,7009_copy2,7009_BLANK,7009_copy2,7009_copy2
C_tasmanica_6379,C_tasmanica_6379_A,6379_copy1,6379_copy1,6379_copy1,6379_copy1
C_tasmanica_6379,C_tasmanica_6379_B,6379_copy2,6379_copy2,6379_BLANK,6379_copy2
C_utahensis_6848,C_utahensis_6848_A,6848_copy1,6848_copy1,6848_BLANK,6848_copy1
C_utahensis_6848,C_utahensis_6848_B,6848_copy2,6848_copy2,6848_BLANK2,6848_BLANK
Gisjunctum_7751,G_disjunctum_7751_A,7751_copy1,7751_copy1,7751_copy1,7751_copy1
Gisjunctum_7751,G_disjunctum_7751_B,7751_BLANK,7751_copy2,7751_copy2,7751_BLANK
Gryopteris_7981,G_dryopteris_7981_A,7981_copy1,7981_copy1,7981_copy1,7981_copy1
Gryopteris_7981,G_dryopteris_7981_B,7981_copy2,7981_copy2,7981_copy2,7981_copy2
Gryopteris_7981,G_dryopteris_7981_C,7981_BLANK2,7981_copy3,7981_BLANK2,7981_copy3
Gryopteris_7981,G_dryopteris_7981_D,7981_BLANK,7981_BLANK,7981_BLANK,7981_BLANK
